	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.790658	0.731722	0.683874	0.651691	0.749939	0.587504	0.514062	0.797692	0.743238	0.552405	0.694199	0.930077	0.637251	0.655888	0.852673	0.824915	0.978646	0.691674	0.435926	0.605347	0.853119	0.619808	0.456669	0.573286	0.700467	0.649968	0.695063	0.738724	0.732871	0.778381	0.760055	0.778827	0.734433	0.664908	0.48699	0.795719	0.539922	0.203418	0.84036	0.481162	0.563259	0.740261	0.430046	0.683655	0.907005	0.945988	0.716036	0.616968	0.54545	0.763026	0.551183	0.596739	1.195163	0.675519	0.531169	0.613816	0.67963	0.549493	0.81521
sp1565.486407	0.790658	0.0	0.338014	0.805526	0.836757	0.391409	0.583214	0.841616	0.487974	0.621334	0.740675	0.562605	0.742875	0.839841	0.860256	0.816359	0.788601	0.77266	0.931904	0.73397	0.741323	0.840721	0.64291	0.664593	0.772592	0.810429	0.579784	0.888337	0.848686	0.846801	0.815205	0.796879	0.960201	0.878531	0.855646	0.805562	0.832543	0.819648	0.809056	1.021774	0.808962	0.812407	0.921675	0.808776	0.658541	0.798153	0.763398	0.851738	0.840852	0.655012	0.764456	0.789213	0.675791	1.370945	0.977621	0.737527	0.811798	0.707836	0.801759	0.636166
sp0193.486346	0.731722	0.338014	0.0	0.765122	0.865621	0.522973	0.52335	0.824736	0.4875	0.620166	0.776643	0.532521	0.655143	0.860325	0.88209	0.807859	0.780101	0.695594	0.846278	0.705328	0.835387	0.866765	0.730046	0.687443	0.81941	0.801929	0.548584	0.938065	0.840186	0.837461	0.806705	0.788379	0.943321	0.938925	0.897822	0.77275	0.824043	0.81848	0.75012	1.013274	0.80411	0.817367	0.913175	0.765552	0.671955	0.789653	0.754898	0.834858	0.854266	0.680196	0.778958	0.806013	0.689205	1.397623	0.891995	0.768677	0.825212	0.698546	0.793259	0.571396
SE.20100928.GY.NF008.BC.093.a.673660	0.683874	0.805526	0.765122	0.0	0.700561	0.755375	0.62036	0.781232	0.816164	0.829074	0.600185	0.665249	1.036751	0.710361	0.732816	0.976911	0.949153	1.077202	0.80926	0.619814	0.679663	0.907419	0.71116	0.572955	0.730148	0.829277	0.606244	0.869401	0.867534	0.864809	0.904905	0.886579	0.899817	0.861921	0.841668	0.698778	0.922243	0.745968	0.702272	0.96977	0.721636	0.752023	0.869671	0.683078	0.718751	1.029557	1.065654	0.862206	0.717294	0.586708	0.854156	0.681845	0.615453	0.894687	0.854977	0.599273	0.761522	0.791836	0.749755	0.938422
E3E04.826190	0.651691	0.836757	0.865621	0.700561	0.0	0.770998	0.640697	0.773461	0.838369	0.825831	0.482922	0.700172	0.96006	0.433636	0.348373	0.941552	0.913794	1.056095	0.834491	0.662971	0.51804	0.7691	0.685083	0.509744	0.632489	0.793918	0.568497	0.77	0.832175	0.82024	0.869546	0.85122	0.831818	0.721008	0.746695	0.681447	0.886884	0.692947	0.684941	0.924361	0.665933	0.629528	0.824262	0.665747	0.704926	0.984148	1.030295	0.825177	0.529733	0.612625	0.705585	0.548578	0.582082	1.214586	0.819406	0.332356	0.693005	0.825059	0.61625	0.875769
sp1017.486420	0.749939	0.391409	0.522973	0.755375	0.770998	0.0	0.535697	0.796369	0.518625	0.692377	0.657186	0.48226	0.841742	0.778252	0.794497	0.773522	0.745764	0.871527	0.889067	0.693251	0.640902	0.783302	0.567761	0.603004	0.742927	0.767592	0.513847	0.720624	0.805849	0.803964	0.772368	0.754042	0.917364	0.710818	0.754541	0.747911	0.789706	0.796659	0.786067	0.978937	0.764073	0.76957	0.878838	0.763887	0.557334	0.826168	0.862265	0.808901	0.757363	0.622179	0.721619	0.725852	0.623938	1.311288	0.934784	0.673886	0.798517	0.664999	0.758922	0.717303
ANT04.S2M1.607431	0.587504	0.583214	0.52335	0.62036	0.640697	0.535697	0.0	0.732898	0.567416	0.677244	0.588647	0.465421	0.813319	0.620139	0.64718	0.765681	0.737923	0.884796	0.68964	0.548336	0.668453	0.636603	0.598086	0.536571	0.693094	0.688899	0.45211	0.773633	0.727156	0.689749	0.693675	0.675349	0.780575	0.821891	0.791908	0.659316	0.711013	0.712872	0.620754	0.881414	0.693716	0.664067	0.765463	0.655158	0.500253	0.783645	0.854424	0.678766	0.69323	0.53849	0.576256	0.611083	0.548017	1.272535	0.778965	0.616879	0.736014	0.591388	0.670179	0.721714
UQ288.591065	0.514062	0.841616	0.824736	0.781232	0.773461	0.796369	0.732898	0.0	0.84865	0.665174	0.659323	0.743073	0.960755	0.729017	0.747654	0.913355	0.885597	1.025076	0.767294	0.554142	0.707593	0.914401	0.675818	0.548653	0.711086	0.763435	0.684816	0.761747	0.801692	0.796439	0.839063	0.820737	0.812391	0.841351	0.72428	0.6029	0.856401	0.665768	0.55566	0.903928	0.536494	0.639769	0.803829	0.573192	0.674999	0.968287	1.00667	0.732058	0.68921	0.604832	0.824308	0.690945	0.622037	1.302081	0.841031	0.651987	0.676818	0.702476	0.673549	0.866054
sp0759.486364	0.797692	0.487974	0.4875	0.816164	0.838369	0.518625	0.567416	0.84865	0.0	0.635524	0.742287	0.438463	0.891613	0.852995	0.859836	0.823393	0.795635	0.921398	0.938938	0.728366	0.802467	0.870757	0.730708	0.678763	0.746684	0.817463	0.57327	0.945299	0.85572	0.853835	0.822239	0.803913	0.967235	0.935493	0.920948	0.827178	0.839577	0.788928	0.80077	1.028808	0.737538	0.841281	0.928709	0.74188	0.661243	0.876039	0.912136	0.858772	0.832012	0.68077	0.794492	0.813909	0.666951	1.392263	0.984655	0.719291	0.665262	0.754476	0.808793	0.799486
nest.WY.2008.3.712186.739059	0.743238	0.621334	0.620166	0.829074	0.825831	0.692377	0.677244	0.665174	0.635524	0.0	0.735011	0.626251	0.796543	0.790531	0.806882	0.804193	0.776435	0.843996	0.850262	0.676876	0.789021	0.864195	0.698628	0.640501	0.705244	0.777535	0.565894	0.854599	0.815792	0.813067	0.792675	0.774349	0.901561	0.908465	0.846942	0.74272	0.810013	0.71259	0.721448	0.978516	0.678206	0.764081	0.878417	0.637584	0.659871	0.796351	0.832448	0.78046	0.770638	0.680566	0.78793	0.769907	0.615333	1.369195	0.915619	0.713567	0.72776	0.693636	0.748137	0.73438
