	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.754705	0.665572	0.540109	0.618416	0.765739	0.598079	0.545374	0.646345	0.637718	0.538099	0.580393	0.994523	0.651858	0.626892	0.972979	0.837487	0.882811	0.784679	0.515236	0.625893	0.800533	0.524008	0.589425	0.640006	0.692261	0.566522	0.734922	0.803264	0.759634	0.849723	0.737648	0.765393	0.791563	0.765344	0.592507	0.808658	0.548612	0.605576	0.840279	0.540116	0.620146	0.776117	0.478274	0.633696	0.91859	0.878754	0.805016	0.602811	0.561668	0.736753	0.615285	0.580773	1.218765	0.77588	0.584537	0.668632	0.642853	0.609267	0.835461
sp1565.486407	0.754705	0.0	0.305381	0.706526	0.735835	0.602082	0.604216	0.794811	0.544606	0.622751	0.724088	0.591398	0.79489	0.745071	0.743919	0.777918	0.790988	0.708462	0.755594	0.731175	0.773906	0.960114	0.743537	0.653692	0.824879	0.787466	0.674125	0.794611	0.756765	0.783987	0.730086	0.832853	0.875528	0.898286	0.836091	0.768756	0.974715	0.777003	0.771327	1.0167	0.741201	0.732125	0.952538	0.739451	0.606891	0.864551	0.683693	0.758517	0.766112	0.669497	0.823538	0.789844	0.775324	1.363334	0.952301	0.749038	0.815307	0.678656	0.785688	0.661944
sp0193.486346	0.665572	0.305381	0.0	0.559041	0.658602	0.485525	0.528825	0.727632	0.514037	0.55651	0.615235	0.434541	0.823847	0.65613	0.663262	0.806875	0.749093	0.708361	0.713699	0.66206	0.734979	0.918219	0.638428	0.668051	0.770032	0.745571	0.610926	0.791494	0.71487	0.742092	0.688191	0.790958	0.837873	0.910489	0.848294	0.643799	0.93282	0.67196	0.689838	0.974805	0.626116	0.69023	0.910643	0.64338	0.506216	0.822656	0.71265	0.716622	0.662541	0.63535	0.781643	0.706669	0.674143	1.317485	0.910406	0.651957	0.655712	0.658637	0.743793	0.661843
SE.20100928.GY.NF008.BC.093.a.673660	0.540109	0.706526	0.559041	0.0	0.429505	0.611168	0.455768	0.654415	0.484918	0.574119	0.321752	0.365412	0.965662	0.531253	0.524977	0.950976	0.822342	0.879234	0.771214	0.606683	0.496702	0.742808	0.448475	0.535322	0.666935	0.677116	0.359067	0.680573	0.788119	0.744489	0.832292	0.722503	0.731478	0.737682	0.751069	0.519762	0.793513	0.572259	0.549987	0.825134	0.528625	0.593005	0.760972	0.507307	0.586089	0.904285	0.856751	0.789871	0.48963	0.518883	0.700318	0.505942	0.41996	1.148534	0.760735	0.31695	0.571741	0.65349	0.594122	0.832716
E3E04.826190	0.618416	0.735835	0.658602	0.429505	0.0	0.789467	0.485249	0.57014	0.499039	0.634972	0.394631	0.526113	1.052877	0.357928	0.336398	1.002829	0.871909	0.966449	0.757283	0.730444	0.572637	0.675587	0.492628	0.513651	0.58105	0.726683	0.453042	0.602824	0.827636	0.773956	0.881859	0.75197	0.563205	0.776919	0.66376	0.460865	0.84308	0.56264	0.549042	0.814213	0.491446	0.422604	0.729951	0.506018	0.56384	0.945472	0.908604	0.814774	0.507659	0.586196	0.689391	0.398747	0.522455	1.189867	0.749814	0.376481	0.564246	0.637149	0.528613	0.919931
sp1017.486420	0.765739	0.602082	0.485525	0.611168	0.789467	0.0	0.637534	0.848965	0.666534	0.654957	0.679256	0.539814	0.92271	0.813465	0.772161	0.908024	0.77939	0.850864	0.799114	0.662557	0.81337	0.99452	0.738545	0.748358	0.848089	0.775868	0.708271	0.865897	0.745167	0.772389	0.78934	0.821255	0.947318	0.93016	0.931037	0.77264	0.963117	0.723629	0.720161	1.005102	0.719095	0.816653	0.94094	0.708541	0.653657	0.861333	0.813799	0.746919	0.806298	0.680863	0.834942	0.807778	0.658422	1.386526	0.940703	0.705068	0.584891	0.76941	0.77409	0.818928
ANT04.S2M1.607431	0.598079	0.604216	0.528825	0.455768	0.485249	0.637534	0.0	0.660873	0.446994	0.603073	0.484456	0.42826	0.945912	0.594329	0.563061	0.912402	0.783768	0.859484	0.655514	0.649619	0.626744	0.772164	0.481703	0.594382	0.733023	0.638542	0.507375	0.707401	0.739495	0.695865	0.793718	0.673879	0.754072	0.811658	0.799583	0.59291	0.825791	0.655941	0.564387	0.867776	0.600927	0.556421	0.793564	0.581523	0.526419	0.788585	0.818177	0.726633	0.609006	0.495303	0.650076	0.546892	0.56198	1.226638	0.803377	0.52402	0.706417	0.591358	0.608654	0.812966
UQ288.591065	0.545374	0.794811	0.727632	0.654415	0.57014	0.848965	0.660873	0.0	0.658557	0.687944	0.590001	0.660161	1.054665	0.600678	0.530906	1.033121	0.897629	0.942953	0.742609	0.681772	0.679459	0.821739	0.563774	0.538759	0.531456	0.747831	0.679744	0.692586	0.863406	0.81749	0.909865	0.793218	0.634243	0.799557	0.597632	0.490977	0.861942	0.550732	0.479254	0.833075	0.471952	0.51095	0.768913	0.5802	0.647572	0.929136	0.938896	0.865158	0.605593	0.618514	0.794609	0.638031	0.634339	1.248713	0.768676	0.636439	0.523204	0.525599	0.602063	0.922559
sp0759.486364	0.646345	0.544606	0.514037	0.484918	0.499039	0.666534	0.446994	0.658557	0.0	0.588433	0.526898	0.422434	0.995018	0.586157	0.572949	0.97576	0.847126	0.90859	0.7325	0.676591	0.671064	0.874548	0.552089	0.580774	0.674005	0.7019	0.538183	0.738297	0.812903	0.769273	0.857076	0.747287	0.738582	0.860764	0.752177	0.533962	0.889149	0.635737	0.636391	0.931134	0.577609	0.594113	0.866972	0.581145	0.479013	0.920689	0.881535	0.814655	0.598626	0.552893	0.737972	0.619434	0.578388	1.269688	0.866735	0.554828	0.608083	0.584532	0.700122	0.862072
nest.WY.2008.3.712186.739059	0.637718	0.622751	0.55651	0.574119	0.634972	0.654957	0.603073	0.687944	0.588433	0.0	0.604781	0.526495	0.956955	0.59443	0.629622	0.939983	0.811349	0.841469	0.705103	0.55402	0.616981	0.895371	0.571096	0.586163	0.639874	0.726611	0.577222	0.661318	0.777126	0.733496	0.821299	0.771998	0.798935	0.822855	0.769	0.578297	0.903496	0.594618	0.617282	0.935117	0.522158	0.665058	0.870955	0.577514	0.523382	0.884912	0.845758	0.778878	0.591609	0.628634	0.771103	0.688365	0.576471	1.285423	0.870718	0.624633	0.641022	0.583931	0.704105	0.765893
