	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.677463	0.730387	0.57508	0.652058	0.627564	0.50558	0.640611	0.588741	0.590881	0.511773	0.552895	0.868353	0.707968	0.608855	0.938998	0.781398	0.850534	0.732376	0.436155	0.533429	0.661414	0.526433	0.59841	0.521922	0.722854	0.565121	0.675301	0.724727	0.698616	0.780553	0.725376	0.780977	0.805997	0.782073	0.577874	0.701696	0.508139	0.501703	0.828973	0.608412	0.648809	0.820226	0.398344	0.618203	0.81504	0.737422	0.753943	0.632972	0.504017	0.734202	0.645203	0.562526	1.136292	0.759027	0.544134	0.623023	0.522081	0.632443	0.763764
sp1565.486407	0.677463	0.0	0.248896	0.649293	0.797935	0.471599	0.678575	0.881332	0.698602	0.620832	0.618068	0.54862	0.642816	0.849783	0.757046	0.713461	0.628999	0.624997	0.890741	0.714512	0.757996	0.808995	0.771976	0.784955	0.751953	0.785297	0.72234	0.863598	0.745376	0.761059	0.862192	0.869035	0.934696	0.950168	0.946288	0.797983	0.834991	0.758804	0.753484	0.972632	0.846679	0.78795	0.969371	0.764497	0.76208	0.857067	0.799865	0.824766	0.818993	0.649116	0.788225	0.805512	0.727127	1.264281	0.958608	0.713009	0.790214	0.738538	0.781588	0.565831
sp0193.486346	0.730387	0.248896	0.0	0.727263	0.877777	0.507375	0.738757	0.939522	0.677512	0.663702	0.723872	0.57081	0.701006	0.927593	0.838238	0.771651	0.687189	0.683187	0.948931	0.772702	0.81925	0.890187	0.84855	0.860489	0.809405	0.843487	0.802182	0.932988	0.803566	0.819249	0.920382	0.927225	0.992886	1.008358	1.004478	0.870755	0.893181	0.797146	0.826256	1.030822	0.885021	0.867792	1.027561	0.802839	0.834852	0.915257	0.858055	0.882956	0.891765	0.715602	0.846415	0.885354	0.780051	1.342783	1.016798	0.773003	0.796132	0.81131	0.839778	0.638603
SE.20100928.GY.NF008.BC.093.a.673660	0.57508	0.649293	0.727263	0.0	0.407884	0.639506	0.311638	0.674573	0.546833	0.699821	0.350385	0.513027	0.922085	0.56799	0.505807	0.99273	0.837416	0.904266	0.674046	0.633607	0.447217	0.605606	0.432401	0.472386	0.648392	0.781158	0.380435	0.626841	0.812089	0.75692	0.858053	0.723192	0.788853	0.704283	0.721253	0.555164	0.76	0.522205	0.627513	0.826789	0.591188	0.542651	0.752676	0.547802	0.458395	0.92378	0.795726	0.820627	0.41943	0.519159	0.784086	0.532927	0.37131	0.989238	0.741913	0.275282	0.523677	0.662877	0.564893	0.8451
E3E04.826190	0.652058	0.797935	0.877777	0.407884	0.0	0.782082	0.42615	0.689395	0.633903	0.728637	0.468511	0.663699	0.961377	0.36657	0.389935	1.032022	0.889742	0.943558	0.655934	0.661991	0.490867	0.443012	0.475279	0.582154	0.591504	0.818164	0.356587	0.576503	0.849095	0.773826	0.886679	0.760198	0.750139	0.789161	0.734317	0.592358	0.797006	0.555117	0.640577	0.863795	0.583014	0.435721	0.769582	0.580714	0.583011	0.952406	0.832732	0.791437	0.555588	0.592287	0.745188	0.468779	0.520404	1.088724	0.770539	0.355552	0.603443	0.680223	0.545679	0.90093
sp1017.486420	0.627564	0.471599	0.507375	0.639506	0.782082	0.0	0.654574	0.860887	0.612529	0.631421	0.602305	0.533715	0.834927	0.7778	0.745469	0.905572	0.750258	0.817108	0.870296	0.694067	0.638737	0.797418	0.715443	0.72869	0.702502	0.764852	0.648219	0.637205	0.699647	0.740614	0.841747	0.84859	0.914251	0.742409	0.742699	0.729286	0.814546	0.708119	0.732207	0.952187	0.809484	0.784607	0.948926	0.744052	0.714851	0.836622	0.77942	0.804321	0.760452	0.634799	0.772398	0.792057	0.68823	1.226532	0.938163	0.697156	0.698237	0.671915	0.761143	0.732658
ANT04.S2M1.607431	0.50558	0.678575	0.738757	0.311638	0.42615	0.654574	0.0	0.671321	0.549903	0.683535	0.407113	0.521077	0.912961	0.54877	0.460281	0.983606	0.828292	0.895142	0.656542	0.588299	0.412155	0.590652	0.358227	0.45614	0.612386	0.772034	0.457411	0.587803	0.802965	0.737746	0.829733	0.714068	0.761299	0.722323	0.718001	0.547568	0.750876	0.487347	0.582205	0.817665	0.521382	0.495723	0.733502	0.520358	0.512997	0.83753	0.786602	0.793073	0.49596	0.510243	0.766074	0.529509	0.372488	1.016626	0.655663	0.354402	0.508339	0.600461	0.527659	0.838262
UQ288.591065	0.640611	0.881332	0.939522	0.674573	0.689395	0.860887	0.671321	0.0	0.63471	0.789202	0.681842	0.788154	0.988584	0.785327	0.70812	1.059229	0.928491	0.970765	0.633103	0.527124	0.654438	0.702047	0.682612	0.727763	0.777059	0.836227	0.673802	0.686546	0.897854	0.811989	0.904742	0.773689	0.687286	0.82699	0.657936	0.585205	0.812783	0.543862	0.505822	0.877286	0.664209	0.56721	0.813109	0.441799	0.77184	0.972755	0.850795	0.825008	0.747095	0.624494	0.875985	0.714822	0.697329	1.208565	0.793966	0.681863	0.626476	0.637428	0.625326	0.966133
sp0759.486364	0.588741	0.698602	0.677512	0.546833	0.633903	0.612529	0.549903	0.63471	0.0	0.670666	0.526966	0.509066	0.978782	0.745391	0.660206	1.049427	0.877137	0.960963	0.686787	0.597302	0.56154	0.600915	0.634312	0.651663	0.600891	0.833283	0.568296	0.637822	0.846484	0.809045	0.901798	0.775317	0.674118	0.857254	0.634446	0.493665	0.812125	0.483064	0.516122	0.878914	0.642353	0.491518	0.875653	0.518751	0.607594	0.967525	0.847851	0.816606	0.693605	0.544216	0.836211	0.66786	0.581701	1.177097	0.85651	0.581781	0.364918	0.534706	0.68787	0.886353
nest.WY.2008.3.712186.739059	0.590881	0.620832	0.663702	0.699821	0.728637	0.631421	0.683535	0.789202	0.670666	0.0	0.633598	0.668954	0.794898	0.835039	0.744798	0.865543	0.709043	0.777079	0.794181	0.585014	0.641652	0.746963	0.703938	0.727913	0.559705	0.774947	0.663336	0.753818	0.716332	0.750709	0.843462	0.837957	0.847998	0.906842	0.84823	0.687085	0.814277	0.625186	0.68371	0.941554	0.670059	0.729548	0.927929	0.658631	0.744126	0.848701	0.789515	0.75827	0.754017	0.658556	0.786295	0.778478	0.677701	1.251719	0.908786	0.691791	0.706264	0.660174	0.740146	0.703437
SE.20101009.GY.ALTFF002.BC.225.415346	0.511773	0.618068	0.723872	0.350385	0.468511	0.602305	0.407113	0.681842	0.526966	0.633598	0.0	0.496972	0.868438	0.598353	0.548518	0.939083	0.799089	0.850619	0.691251	0.574486	0.450624	0.563275	0.417	0.413223	0.579599	0.727511	0.388746	0.610894	0.729384	0.703273	0.804406	0.669545	0.735206	0.725658	0.738458	0.558571	0.706353	0.488306	0.573034	0.773142	0.628241	0.569576	0.769881	0.584855	0.41227	0.870133	0.742079	0.76698	0.453267	0.37579	0.730439	0.555072	0.445787	1.016599	0.759118	0.389921	0.58644	0.574252	0.582098	0.762395
