	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.702928	0.756807	0.438115	0.56566	0.592141	0.454442	0.578622	0.525256	0.637986	0.499302	0.54531	0.989026	0.545505	0.58953	0.937414	0.805709	0.916869	0.789915	0.51659	0.485082	0.747437	0.482052	0.525081	0.629317	0.850115	0.578208	0.652489	0.813795	0.722139	0.731955	0.820592	0.837764	0.706492	0.72255	0.537136	0.815503	0.456932	0.465107	0.795296	0.357934	0.623409	0.769159	0.507742	0.575706	0.814395	0.88669	0.851743	0.566473	0.615871	0.737784	0.545375	0.40592	1.056587	0.703905	0.470672	0.545881	0.565172	0.582116	0.8804
sp1565.486407	0.702928	0.0	0.429891	0.645245	0.679492	0.643219	0.645276	0.740074	0.545018	0.586496	0.54265	0.614694	0.801994	0.678869	0.659364	0.74976	0.762667	0.732123	0.869841	0.659556	0.701062	0.830729	0.729846	0.716067	0.797639	0.807073	0.599566	0.812991	0.770753	0.820801	0.830617	0.706698	1.016498	0.838874	0.902124	0.749804	0.914165	0.73857	0.784731	0.893958	0.71515	0.770823	0.796969	0.835172	0.718608	0.892641	0.701944	0.746229	0.725545	0.566941	0.741004	0.656455	0.640208	1.209505	0.923855	0.61189	0.795905	0.619982	0.75163	0.6942
sp0193.486346	0.756807	0.429891	0.0	0.75316	0.798257	0.729274	0.763679	0.771607	0.593245	0.624607	0.646701	0.671791	0.697309	0.797634	0.752415	0.645075	0.7942	0.627438	0.901374	0.687375	0.782919	0.870012	0.812889	0.7476	0.824208	0.838606	0.733651	0.873376	0.802286	0.852334	0.86215	0.738231	1.048031	0.910103	0.937827	0.822043	0.945698	0.777867	0.79497	0.925491	0.753261	0.834582	0.828502	0.851385	0.824721	0.924174	0.733477	0.777762	0.823908	0.631756	0.780287	0.77283	0.723251	1.267784	0.955388	0.722905	0.849784	0.661515	0.783163	0.589515
SE.20100928.GY.NF008.BC.093.a.673660	0.438115	0.645245	0.75316	0.0	0.476165	0.473424	0.320549	0.663997	0.422921	0.701657	0.470125	0.457299	1.019561	0.490928	0.558631	0.946295	0.83853	0.94969	0.787802	0.525047	0.459307	0.741464	0.439725	0.557386	0.674728	0.882936	0.460485	0.661468	0.846616	0.75496	0.764776	0.853413	0.861501	0.725599	0.747127	0.529433	0.848324	0.503177	0.519152	0.828117	0.485715	0.626212	0.80198	0.555375	0.523423	0.820526	0.919511	0.88302	0.53548	0.647108	0.740895	0.472768	0.412503	1.066802	0.710036	0.370517	0.464568	0.546773	0.614937	0.888449
E3E04.826190	0.56566	0.679492	0.798257	0.476165	0.0	0.626999	0.484366	0.76567	0.584862	0.769364	0.536694	0.57764	1.060874	0.412173	0.456306	1.00864	0.879843	0.991003	0.916165	0.62185	0.532282	0.752011	0.590608	0.620687	0.757791	0.924249	0.349206	0.716741	0.887929	0.796273	0.806089	0.894726	0.921118	0.754	0.806744	0.654424	0.889637	0.622178	0.665159	0.86943	0.584036	0.685829	0.843293	0.7156	0.4933	0.938965	0.960824	0.934257	0.514127	0.706909	0.691916	0.476441	0.45505	1.095203	0.828475	0.284568	0.669135	0.681524	0.65625	0.95308
sp1017.486420	0.592141	0.643219	0.729274	0.473424	0.626999	0.0	0.547357	0.743927	0.413881	0.733161	0.531565	0.510307	1.028767	0.577492	0.603669	0.951249	0.847736	0.958896	0.884058	0.579691	0.578675	0.781844	0.616105	0.659432	0.710364	0.892142	0.578301	0.585026	0.855822	0.764166	0.773982	0.862619	0.959863	0.622111	0.670685	0.649087	0.85753	0.634651	0.6884	0.837323	0.581993	0.72803	0.811186	0.738841	0.616171	0.906858	0.928717	0.90215	0.633854	0.668528	0.762971	0.62421	0.528465	1.121374	0.86722	0.506515	0.553554	0.546783	0.694995	0.895689
ANT04.S2M1.607431	0.454442	0.645276	0.763679	0.320549	0.484366	0.547357	0.0	0.665716	0.50408	0.71628	0.491748	0.459796	1.00777	0.487245	0.491286	0.957822	0.824453	0.935613	0.765219	0.593208	0.495014	0.702775	0.468576	0.555421	0.678701	0.868859	0.524204	0.654913	0.832539	0.730833	0.750699	0.829286	0.838918	0.721844	0.748846	0.55447	0.834247	0.544432	0.489049	0.81404	0.479008	0.585195	0.758781	0.553742	0.559126	0.806449	0.905434	0.860437	0.572801	0.647283	0.700662	0.482075	0.43601	1.073433	0.695959	0.425556	0.548157	0.568508	0.57275	0.899976
UQ288.591065	0.578622	0.740074	0.771607	0.663997	0.76567	0.743927	0.665716	0.0	0.657218	0.654504	0.574476	0.623104	0.953602	0.758189	0.661374	0.929778	0.761141	0.881445	0.662877	0.580388	0.677214	0.711789	0.69385	0.559223	0.715711	0.805547	0.697382	0.711545	0.769227	0.738059	0.747875	0.77831	0.839242	0.814302	0.728764	0.59965	0.831423	0.621244	0.538595	0.811216	0.58359	0.663473	0.724591	0.590536	0.759408	0.769827	0.846694	0.767153	0.752937	0.590109	0.718864	0.693049	0.6676	1.208305	0.780313	0.690318	0.691619	0.546114	0.658524	0.845808
sp0759.486364	0.525256	0.545018	0.593245	0.422921	0.584862	0.413881	0.50408	0.657218	0.0	0.613176	0.477692	0.397744	0.931694	0.604197	0.573646	0.87946	0.750663	0.861823	0.786985	0.563344	0.560358	0.755623	0.617714	0.633211	0.650867	0.795069	0.524784	0.733609	0.758749	0.737945	0.747761	0.765546	0.933642	0.774864	0.819268	0.666948	0.831309	0.574094	0.645673	0.811102	0.543252	0.701809	0.714113	0.692772	0.623458	0.809785	0.831644	0.805077	0.622645	0.549469	0.665898	0.602391	0.462444	1.113971	0.840999	0.489662	0.500165	0.525094	0.668774	0.8239
nest.WY.2008.3.712186.739059	0.637986	0.586496	0.624607	0.701657	0.769364	0.733161	0.71628	0.654504	0.613176	0.0	0.59781	0.705476	0.83342	0.751871	0.7249	0.81035	0.773365	0.763549	0.870175	0.713802	0.671164	0.874453	0.762242	0.728629	0.637403	0.817771	0.737478	0.808115	0.781451	0.810771	0.820587	0.72776	0.996104	0.871676	0.88173	0.787738	0.904135	0.649422	0.695135	0.883928	0.594622	0.826335	0.797303	0.746762	0.787294	0.892975	0.73337	0.767291	0.778061	0.677397	0.795092	0.752809	0.601532	1.250935	0.903461	0.66057	0.765285	0.691054	0.731236	0.740208
