	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.742893	0.617026	0.57015	0.656538	0.644098	0.580282	0.673595	0.645582	0.565271	0.562674	0.667556	1.057554	0.641237	0.667014	0.920722	0.929938	0.904893	0.700844	0.508975	0.628744	0.737589	0.518302	0.508105	0.629911	0.715667	0.517319	0.680124	0.777723	0.819475	0.815357	0.861309	0.825361	0.756556	0.752242	0.482019	0.730114	0.438026	0.508958	0.781247	0.495422	0.633011	0.809866	0.605679	0.610958	0.93283	0.790196	0.719989	0.664274	0.55271	0.738049	0.614553	0.574197	1.139557	0.783369	0.53426	0.627657	0.540638	0.623464	0.830612
sp1565.486407	0.742893	0.0	0.386991	0.706697	0.813065	0.384039	0.488753	0.919394	0.560643	0.757234	0.711653	0.812703	0.850551	0.755378	0.840603	0.722863	0.738173	0.702462	0.839115	0.678782	0.806067	0.919558	0.772131	0.682274	0.849688	0.874354	0.722676	0.781355	0.653002	0.836458	0.903192	0.80744	0.850684	0.868861	0.889845	0.774752	0.817949	0.770119	0.904163	0.869082	0.785401	0.813788	0.978917	0.84625	0.767841	0.732685	0.959247	0.903816	0.830931	0.589583	0.74281	0.815418	0.695454	1.27466	0.95242	0.724067	0.798926	0.706227	0.792515	0.627559
sp0193.486346	0.617026	0.386991	0.0	0.569868	0.71633	0.405896	0.383296	0.813347	0.471904	0.594747	0.66861	0.587426	0.942414	0.770245	0.745024	0.810154	0.770346	0.789753	0.707576	0.622689	0.723128	0.819529	0.636368	0.637913	0.737629	0.819941	0.591743	0.746458	0.669441	0.782045	0.848779	0.753027	0.732271	0.821546	0.832874	0.614259	0.763536	0.57992	0.746868	0.814669	0.63	0.716933	0.924504	0.732287	0.656638	0.819976	0.904834	0.784877	0.7883	0.52708	0.706781	0.751573	0.581585	1.249539	0.898007	0.65007	0.599563	0.609112	0.738102	0.731718
SE.20100928.GY.NF008.BC.093.a.673660	0.57015	0.706697	0.569868	0.0	0.5277	0.576784	0.619616	0.711839	0.470868	0.642543	0.38221	0.44374	1.085972	0.514929	0.618088	0.953712	0.959098	0.933311	0.778176	0.664161	0.50688	0.697043	0.520916	0.452127	0.712985	0.750943	0.445297	0.603078	0.812999	0.854751	0.850633	0.896585	0.845343	0.706262	0.743086	0.582135	0.76539	0.500024	0.66888	0.816523	0.528808	0.580083	0.784654	0.668503	0.561406	0.963534	0.764984	0.769641	0.543954	0.600468	0.743615	0.554529	0.528707	1.060075	0.758157	0.347892	0.442153	0.67351	0.598252	0.860694
E3E04.826190	0.656538	0.813065	0.71633	0.5277	0.0	0.63506	0.733522	0.805879	0.652196	0.680757	0.439744	0.705458	1.122132	0.510501	0.617368	0.992158	0.95235	0.971757	0.816622	0.718731	0.553068	0.702973	0.5641	0.468355	0.718209	0.789389	0.442913	0.631654	0.851445	0.893197	0.889079	0.935031	0.816877	0.768828	0.805216	0.603379	0.803836	0.655308	0.761266	0.854969	0.654286	0.621173	0.888466	0.724501	0.520082	1.00198	0.868796	0.763231	0.601734	0.644774	0.691769	0.599227	0.531479	1.161601	0.861969	0.442458	0.692607	0.674556	0.702064	0.896854
sp1017.486420	0.644098	0.384039	0.405896	0.576784	0.63506	0.0	0.53126	0.822257	0.582774	0.655309	0.530374	0.713174	0.967156	0.589797	0.740034	0.839468	0.854778	0.819067	0.743164	0.587359	0.652512	0.818989	0.623932	0.526113	0.752551	0.778403	0.550969	0.596662	0.698755	0.740507	0.807241	0.782341	0.754733	0.702132	0.735626	0.616033	0.721998	0.66535	0.808212	0.773131	0.684636	0.689159	0.882966	0.750299	0.615472	0.84929	0.863296	0.807865	0.678562	0.49301	0.642241	0.674931	0.546427	1.145481	0.856469	0.548558	0.734779	0.610276	0.696564	0.744164
ANT04.S2M1.607431	0.580282	0.488753	0.383296	0.619616	0.733522	0.53126	0.0	0.834957	0.57924	0.669665	0.644536	0.743516	0.941716	0.678205	0.717604	0.792918	0.799848	0.774803	0.64694	0.606293	0.742436	0.773573	0.663532	0.622901	0.758455	0.792341	0.634529	0.778024	0.652205	0.721409	0.821179	0.735791	0.704387	0.83691	0.86736	0.654197	0.735936	0.65148	0.725046	0.787069	0.705134	0.685941	0.867636	0.751245	0.683158	0.80274	0.881002	0.772007	0.777966	0.54298	0.609817	0.701303	0.628055	1.231991	0.874175	0.669678	0.721709	0.622818	0.70422	0.692136
UQ288.591065	0.673595	0.919394	0.813347	0.711839	0.805879	0.822257	0.834957	0.0	0.819299	0.702	0.680345	0.772259	1.173109	0.772874	0.725925	1.036277	1.015489	1.020448	0.847913	0.609352	0.698141	0.80404	0.684613	0.695504	0.679356	0.822078	0.68405	0.763269	0.893278	0.930458	0.924054	0.974578	0.923208	0.794129	0.786933	0.726646	0.838811	0.609049	0.625951	0.889944	0.555007	0.71329	0.855789	0.680486	0.761963	1.048385	0.836119	0.803936	0.784795	0.700587	0.89431	0.727384	0.72578	1.251042	0.829292	0.696713	0.75009	0.756461	0.669387	0.988537
sp0759.486364	0.645582	0.560643	0.471904	0.470868	0.652196	0.582774	0.57924	0.819299	0.0	0.601803	0.60167	0.451076	1.074534	0.717309	0.727722	0.94456	0.904752	0.924159	0.769024	0.676719	0.665522	0.802227	0.636586	0.577725	0.732357	0.812643	0.541959	0.708242	0.803847	0.845599	0.841481	0.887433	0.804205	0.801738	0.833956	0.645963	0.756238	0.610228	0.790006	0.807371	0.623482	0.698091	0.917206	0.743305	0.608512	0.954382	0.897536	0.785959	0.729508	0.560664	0.751951	0.736415	0.523979	1.208893	0.890709	0.581408	0.439789	0.627628	0.730804	0.849256
nest.WY.2008.3.712186.739059	0.565271	0.757234	0.594747	0.642543	0.680757	0.655309	0.669665	0.702	0.601803	0.0	0.628655	0.676373	1.034033	0.73169	0.647565	0.897201	0.859679	0.881372	0.719379	0.560472	0.656957	0.658044	0.620569	0.588972	0.625698	0.752634	0.557036	0.698111	0.754202	0.795954	0.791836	0.837788	0.717986	0.754903	0.553799	0.48951	0.706593	0.521777	0.641779	0.757726	0.518975	0.515338	0.846833	0.508464	0.593239	0.909309	0.827163	0.613658	0.743611	0.572437	0.743692	0.697402	0.534238	1.209858	0.820336	0.624889	0.470446	0.412345	0.660431	0.837919
