	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
Zambon.Leftpalm.983763	0.860253	0.811815	0.848611	0.90028	0.971188	0.789754	0.805709	0.935507	0.7966	0.76862	0.879825	0.904849	0.0	0.903057	0.87547	0.635798	0.400538	0.755536	0.554086	0.814111	0.941941	0.666005	0.883912	0.827631	0.663952	0.439742	0.781351	0.996952	0.401907	0.395398	0.383159	0.459983	0.82815	1.03076	0.999502	0.915889	0.571772	0.901653	0.885287	0.545595	0.80904	0.890366	0.695277	0.881052	0.865045	0.699327	0.538283	0.526609	0.961157	0.795582	0.518418	0.8507	0.903931	1.405677	0.616411	0.90217	0.976725	0.723044	0.764694	0.865974
H55Kc.735962	0.697338	0.765682	0.789582	0.543825	0.555517	0.760191	0.592952	0.772484	0.735189	0.689737	0.538564	0.717648	0.903057	0.0	0.512897	0.958147	0.865069	1.048773	0.903185	0.681808	0.635648	0.650516	0.633109	0.59369	0.732815	0.887365	0.670766	0.752169	0.884432	0.695063	0.838152	0.824048	0.579807	0.832537	0.828625	0.690992	0.798777	0.605952	0.683962	0.822798	0.664499	0.577289	0.62943	0.641935	0.715776	1.022476	0.918752	0.725924	0.661804	0.553965	0.630913	0.487325	0.564878	1.125442	0.825968	0.526979	0.695068	0.828709	0.539357	1.003991
Myr.tri.Seat.4.03H10.653706	0.601145	0.763783	0.681771	0.53437	0.439812	0.756752	0.538349	0.663605	0.730094	0.632836	0.531315	0.723533	0.87547	0.512897	0.0	0.92024	0.837562	1.04127	0.756856	0.622299	0.537759	0.627483	0.630708	0.580539	0.682586	0.87188	0.545271	0.759898	0.865225	0.729934	0.818945	0.813621	0.59752	0.825034	0.718782	0.593103	0.77873	0.500861	0.619947	0.812371	0.638194	0.43096	0.694169	0.513014	0.663045	0.970247	0.852351	0.704811	0.660243	0.531658	0.660252	0.519204	0.533799	1.119971	0.806761	0.567576	0.591167	0.724878	0.548976	1.00243
10.8.12.rk.st.0800.1123130	0.913431	0.768919	0.884947	0.936616	1.007524	0.68637	0.852861	1.008509	0.753704	0.78057	0.907781	0.907521	0.635798	0.958147	0.92024	0.0	0.489426	0.684872	0.635172	0.840551	0.949219	0.730769	0.88365	0.867651	0.650124	0.328508	0.833075	1.03949	0.770847	0.571242	0.604399	0.529939	0.946146	1.08067	1.06465	0.941353	0.891566	0.913603	0.953879	0.857001	0.82645	0.93356	0.906909	0.936542	0.883651	0.407595	0.504215	0.720741	0.960055	0.835602	0.649692	0.891636	0.934325	1.433633	0.819323	0.901068	0.990063	0.793574	0.854136	0.633454
EM086.441698	0.841461	0.773827	0.819003	0.870672	0.94158	0.751766	0.786917	0.909583	0.758612	0.739012	0.841837	0.866861	0.400538	0.865069	0.837562	0.489426	0.0	0.762288	0.543814	0.795319	0.912333	0.695443	0.846764	0.801707	0.555072	0.359824	0.762559	0.958964	0.421887	0.369378	0.425293	0.357897	0.796356	0.992772	0.969894	0.886281	0.55895	0.872045	0.866495	0.519943	0.790248	0.860758	0.632181	0.851444	0.835437	0.599841	0.499559	0.510127	0.923169	0.769658	0.508368	0.824776	0.874323	1.367689	0.483561	0.864182	0.947117	0.704252	0.712454	0.795346
C.3037.01.S1.405123	0.956191	0.803989	0.924589	0.976258	1.04488	0.72144	0.892503	1.024313	0.788774	0.85885	0.942851	0.967875	0.755536	1.048773	1.04127	0.684872	0.762288	0.0	0.663772	0.922015	1.017919	0.962217	0.950064	0.909579	0.843668	0.692554	0.903507	1.059978	0.813295	0.618124	0.589521	0.834797	1.062256	1.093786	1.084624	1.001011	0.992756	0.979917	0.981225	0.925665	0.89812	1.003992	1.056565	0.963888	0.938737	0.604505	0.571123	0.803769	1.024183	0.87753	0.768182	1.005698	0.977623	1.468703	1.014301	0.965196	1.057275	0.81441	0.912696	0.524264
NA.15.T0.830848	0.725995	0.769187	0.704127	0.846184	0.881822	0.747126	0.671689	0.754667	0.753972	0.697536	0.837197	0.862221	0.554086	0.903185	0.756856	0.635172	0.543814	0.663772	0.0	0.707499	0.811365	0.743657	0.841284	0.783323	0.626204	0.547428	0.625569	0.954324	0.636657	0.473878	0.520031	0.604415	0.682958	0.988132	0.799536	0.728769	0.767834	0.777283	0.762051	0.722191	0.733492	0.6904	0.835719	0.68412	0.778351	0.563581	0.562211	0.557981	0.918529	0.74569	0.551412	0.813376	0.817237	1.363049	0.786553	0.859542	0.768743	0.489336	0.764822	0.817738
soil1.T3U1.536591	0.464276	0.711982	0.660258	0.628091	0.701559	0.703325	0.517188	0.625328	0.695581	0.468125	0.61756	0.637726	0.814111	0.681808	0.622299	0.840551	0.795319	0.922015	0.707499	0.0	0.553534	0.719742	0.584659	0.55739	0.640911	0.817615	0.469736	0.778595	0.814682	0.685719	0.768402	0.763078	0.739219	0.835095	0.781719	0.59781	0.786147	0.517314	0.534928	0.761828	0.348015	0.602551	0.774652	0.610685	0.563926	0.859534	0.83475	0.684424	0.669554	0.543631	0.713595	0.636877	0.605912	1.158732	0.816706	0.629941	0.6384	0.610717	0.612279	0.857891
SSBE21Aug08.618423	0.63537	0.7549	0.648282	0.470117	0.543349	0.782393	0.559796	0.65216	0.727831	0.568379	0.499866	0.64632	0.941941	0.635648	0.537759	0.949219	0.912333	1.017919	0.811365	0.553534	0.0	0.832224	0.416751	0.560302	0.704691	0.934629	0.64578	0.742609	0.931696	0.812783	0.885416	0.890142	0.690103	0.789173	0.708301	0.472656	0.845201	0.453276	0.63755	0.888892	0.573513	0.527343	0.78074	0.517703	0.474512	1.014032	0.949478	0.794388	0.345286	0.500873	0.840659	0.596733	0.402308	1.098228	0.873232	0.483733	0.505498	0.679955	0.636871	0.950021
Turkey.Stool.983766	0.804344	0.810162	0.83049	0.765303	0.743301	0.764369	0.63609	0.910132	0.794947	0.738505	0.741086	0.769912	0.666005	0.650516	0.627483	0.730769	0.695443	0.962217	0.743657	0.719742	0.832224	0.0	0.762853	0.70804	0.628653	0.658611	0.714424	0.937345	0.748204	0.579093	0.732074	0.583604	0.641437	0.978525	0.966273	0.834582	0.774651	0.806518	0.855502	0.710638	0.739303	0.741061	0.722326	0.815081	0.755328	0.832132	0.76089	0.61976	0.84306	0.705125	0.450889	0.706955	0.794214	1.273462	0.768444	0.758813	0.88159	0.824653	0.712993	0.957533
