	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.830056	0.643595	0.615533	0.698698	0.747939	0.686982	0.605673	0.70433	0.738424	0.637665	0.683469	1.061492	0.610131	0.627809	0.972731	0.925073	0.889576	0.77714	0.641492	0.584145	0.908032	0.576073	0.515103	0.552145	0.837757	0.714656	0.760082	0.784547	0.794231	0.793884	0.844691	0.81755	0.792182	0.722515	0.486393	0.819948	0.482905	0.399452	0.841752	0.501006	0.592546	0.895868	0.47054	0.647022	0.960082	0.873828	0.910494	0.686258	0.622721	0.80306	0.628564	0.520429	1.150576	0.787294	0.629979	0.59162	0.59848	0.638911	0.837742
sp1565.486407	0.830056	0.0	0.442617	0.630937	0.897294	0.561423	0.507912	0.864885	0.45661	0.641876	0.811455	0.602763	0.805948	0.884205	0.866015	0.714901	0.669529	0.705716	0.929204	0.891054	0.819581	0.931542	0.808309	0.751189	0.790869	0.728489	0.67348	0.988458	0.746131	0.897519	0.968024	0.806275	0.990312	0.954892	0.968649	0.793807	0.994088	0.770297	0.775834	1.015892	0.725828	0.844324	0.857452	0.766432	0.877148	0.921666	0.689968	0.789182	0.862928	0.732441	0.817926	0.813336	0.736243	1.317162	0.961434	0.797397	0.688818	0.724166	0.813051	0.662438
sp0193.486346	0.643595	0.442617	0.0	0.51445	0.720903	0.40321	0.437533	0.717456	0.327201	0.547787	0.667184	0.549918	0.831287	0.712552	0.69504	0.74024	0.694868	0.660203	0.804459	0.719895	0.563866	0.759031	0.596548	0.579848	0.619472	0.612124	0.468357	0.754035	0.629766	0.781154	0.851659	0.68991	0.818327	0.776089	0.74157	0.610352	0.877723	0.633844	0.603955	0.899527	0.555045	0.650499	0.741087	0.614711	0.689585	0.805301	0.644455	0.687523	0.730097	0.644824	0.702291	0.679547	0.55036	1.168305	0.845069	0.650542	0.596441	0.509977	0.696686	0.602343
SE.20100928.GY.NF008.BC.093.a.673660	0.615533	0.630937	0.51445	0.0	0.469359	0.464128	0.374207	0.656076	0.521973	0.695723	0.45445	0.40861	0.941463	0.589032	0.541712	0.850416	0.805044	0.770379	0.710459	0.636395	0.48913	0.854501	0.574982	0.491866	0.587444	0.7223	0.445055	0.757203	0.66909	0.678774	0.749279	0.729234	0.771567	0.715297	0.749904	0.580328	0.775343	0.58672	0.576937	0.797147	0.474487	0.603739	0.780411	0.522549	0.498619	0.844625	0.754631	0.853845	0.484399	0.530786	0.645023	0.507915	0.455738	1.040673	0.742689	0.335558	0.587081	0.546727	0.594306	0.683355
E3E04.826190	0.698698	0.897294	0.720903	0.469359	0.0	0.759669	0.607252	0.799987	0.749582	0.837364	0.583395	0.719851	1.11255	0.480889	0.396733	1.036823	0.951467	0.941466	0.863116	0.78572	0.570773	0.969442	0.692593	0.582827	0.727691	0.893387	0.691394	0.801818	0.840177	0.839811	0.839464	0.900321	0.876984	0.802406	0.811945	0.666499	0.875578	0.689991	0.64367	0.897382	0.57148	0.62369	0.941448	0.62582	0.574488	1.015712	0.925718	0.968786	0.615	0.737477	0.728638	0.570204	0.551455	1.165934	0.832874	0.490529	0.702558	0.693596	0.667247	0.856728
sp1017.486420	0.747939	0.561423	0.40321	0.464128	0.759669	0.0	0.350061	0.779378	0.387289	0.707985	0.666294	0.55126	0.932997	0.761048	0.73673	0.84195	0.796578	0.736629	0.843697	0.739807	0.575446	0.820751	0.609036	0.623344	0.720682	0.713834	0.419585	0.773905	0.660624	0.812012	0.882517	0.720768	0.904805	0.740339	0.766606	0.669484	0.908581	0.719958	0.692445	0.930385	0.620269	0.736977	0.771945	0.669699	0.710283	0.836159	0.720881	0.845379	0.688207	0.654456	0.733149	0.669123	0.620862	1.171675	0.875927	0.60177	0.648031	0.540585	0.727544	0.649605
ANT04.S2M1.607431	0.686982	0.507912	0.437533	0.374207	0.607252	0.350061	0.0	0.717589	0.395838	0.646196	0.585817	0.539337	0.856956	0.638271	0.586699	0.765909	0.695873	0.685872	0.757606	0.713258	0.590873	0.769994	0.632179	0.563315	0.644641	0.637793	0.425284	0.81857	0.584583	0.725921	0.796426	0.644727	0.818714	0.765422	0.821353	0.651777	0.83254	0.658169	0.622018	0.854344	0.580562	0.593536	0.685854	0.60554	0.64844	0.760118	0.670124	0.769338	0.636506	0.602615	0.633732	0.576646	0.561813	1.12895	0.789836	0.541943	0.65853	0.557688	0.623393	0.598848
UQ288.591065	0.605673	0.864885	0.717456	0.656076	0.799987	0.779378	0.717589	0.0	0.756587	0.758851	0.741856	0.742816	0.996919	0.750022	0.75263	0.93502	0.8605	0.851959	0.707891	0.591159	0.699412	0.892065	0.610966	0.54949	0.626492	0.773184	0.696975	0.804263	0.717688	0.735022	0.795163	0.777832	0.787531	0.814713	0.76694	0.63798	0.821227	0.567812	0.508365	0.843031	0.658199	0.675263	0.829009	0.680631	0.749975	0.893223	0.836211	0.867571	0.769105	0.595892	0.790735	0.718951	0.668614	1.224387	0.788573	0.711994	0.742309	0.572313	0.64019	0.850165
sp0759.486364	0.70433	0.45661	0.327201	0.521973	0.749582	0.387289	0.395838	0.756587	0.0	0.572234	0.725569	0.604071	0.878798	0.734379	0.672549	0.787751	0.742379	0.707714	0.84359	0.745298	0.672559	0.750922	0.715653	0.581589	0.678267	0.659635	0.554764	0.811538	0.677277	0.828665	0.89917	0.737421	0.810218	0.888324	0.794903	0.633891	0.925234	0.697167	0.667278	0.947038	0.633204	0.645564	0.788598	0.666078	0.72897	0.852812	0.691966	0.678888	0.769482	0.646827	0.749802	0.698004	0.627761	1.214058	0.89258	0.678681	0.595382	0.539802	0.744197	0.637558
nest.WY.2008.3.712186.739059	0.738424	0.641876	0.547787	0.695723	0.837364	0.707985	0.646196	0.758851	0.572234	0.0	0.818397	0.743477	0.859068	0.824521	0.770063	0.762047	0.722649	0.702566	0.853256	0.810648	0.695481	0.815748	0.753167	0.644731	0.634981	0.700393	0.651072	0.836038	0.707671	0.838331	0.90335	0.767815	0.839208	0.896674	0.813145	0.677765	0.929414	0.659847	0.675248	0.951218	0.641692	0.709574	0.818992	0.65462	0.788438	0.883206	0.686818	0.679534	0.82895	0.703315	0.815836	0.790178	0.655143	1.284232	0.89676	0.771839	0.7131	0.622546	0.748377	0.673116
