	TVF.2004.Loc4.D10.Rep1.414474	sp1565.486407	sp0193.486346	SE.20100928.GY.NF008.BC.093.a.673660	E3E04.826190	sp1017.486420	ANT04.S2M1.607431	UQ288.591065	sp0759.486364	nest.WY.2008.3.712186.739059	SE.20101009.GY.ALTFF002.BC.225.415346	1204BCDNA.486523	Zambon.Leftpalm.983763	H55Kc.735962	Myr.tri.Seat.4.03H10.653706	10.8.12.rk.st.0800.1123130	EM086.441698	C.3037.01.S1.405123	NA.15.T0.830848	soil1.T3U1.536591	SSBE21Aug08.618423	Turkey.Stool.983766	TBH12Aug08.618303	P.Dois.Rios.SB.414865	H60Do.735986	SPM1x040108.142616	L08A095.799873	F31Forr.140586	B.2004.01.S1.405609	PM8x30308.142380	TS152.2.299097	SPM1x030408.142594	S00305.543918	must.18.1128116	F32Hair.140769	CBE09Aug07.617917	TS1.2.299121	HI.20.35e.2.281673	FL.3.26a.1.281867	cf1170.632724	FL.3.32a.3.281781	M11Nstl.140810	21.ill.mucosa.WT.676371	Calh5.385340	CU3258.141544	50.col.lumen.TG.676359	fut2negative.day56.70.Regular.1004900	cf1126.633182	6b3f4f4e221ccf8bbfc57e52791ed288	42265f3f55dd9c4c9b4feaee53b1f4fc	mf2188.633126	9f400082bffeb4494d4497ef084ffe94	B26.737560	75f78e4c6e0dc6e4a62f570c1bc9a339	b76ecf3dd46fcab94418c68c6fcd8ada	920cce1ef960ffc7343eb5628636a37e	bb08145b2a3724c42967dc2dbdab5c3b	ME10May08EB1R1.486639	4d366f8db0835339ed3c686415599480	WT07L.478428
TVF.2004.Loc4.D10.Rep1.414474	0.0	0.708299	0.690939	0.676144	0.583208	0.605839	0.637519	0.508365	0.684265	0.61848	0.622458	0.702855	1.060346	0.543093	0.572759	1.070903	1.001648	0.926191	0.708988	0.581055	0.555158	0.734062	0.653625	0.522065	0.539864	0.788336	0.538457	0.671634	0.856048	0.918215	0.760067	0.674525	0.841454	0.715594	0.646124	0.585856	0.83607	0.406373	0.404791	0.796272	0.453433	0.495384	0.811754	0.300676	0.672072	0.916685	0.878352	0.857871	0.610981	0.582042	0.799339	0.631655	0.565812	1.217297	0.767219	0.586586	0.54654	0.560322	0.600455	0.853539
sp1565.486407	0.708299	0.0	0.588812	0.623835	0.651409	0.44658	0.449626	0.835534	0.214426	0.514325	0.661693	0.275306	0.949745	0.74985	0.735556	0.964874	0.900191	0.820162	0.799175	0.663854	0.633481	0.863347	0.691246	0.594912	0.718559	0.764589	0.585788	0.825685	0.756877	0.82133	0.878024	0.792482	0.944179	0.801701	0.879437	0.717465	0.741471	0.626554	0.62599	0.843377	0.567554	0.687859	0.858859	0.618835	0.607379	0.86795	0.779181	0.86373	0.716866	0.628929	0.655876	0.719956	0.532341	1.282292	0.885176	0.623795	0.498821	0.670019	0.718412	0.717646
sp0193.486346	0.690939	0.588812	0.0	0.792021	0.764645	0.666666	0.628654	0.801626	0.64633	0.569455	0.808481	0.673504	0.787829	0.727516	0.77467	0.798386	0.733703	0.653674	0.776259	0.792882	0.728973	0.926097	0.777102	0.68385	0.789261	0.805171	0.667148	0.778689	0.655755	0.79106	0.918606	0.833064	0.929141	0.832577	0.756859	0.767293	0.782053	0.73042	0.749024	0.883959	0.697258	0.686143	0.899441	0.737989	0.684837	0.758448	0.678059	0.58495	0.7909	0.684337	0.762704	0.83514	0.702035	1.38629	0.925758	0.782067	0.688469	0.602253	0.758994	0.61535
SE.20100928.GY.NF008.BC.093.a.673660	0.676144	0.623835	0.792021	0.0	0.43912	0.404643	0.572363	0.762237	0.536833	0.629752	0.306588	0.610271	1.028516	0.673171	0.580383	1.043645	0.978962	0.898933	0.807094	0.591303	0.592316	0.754178	0.553823	0.525925	0.716784	0.772508	0.450559	0.759656	0.835648	0.900101	0.804727	0.719185	0.881246	0.73233	0.8019	0.564502	0.820242	0.598783	0.568359	0.780444	0.590155	0.592722	0.795926	0.620804	0.562146	0.946721	0.857952	0.942501	0.559733	0.539908	0.721777	0.600279	0.552944	0.988619	0.811879	0.444224	0.693086	0.671112	0.645115	0.767253
E3E04.826190	0.583208	0.651409	0.764645	0.43912	0.0	0.403419	0.592081	0.669123	0.565707	0.6077	0.474574	0.638795	1.054806	0.555113	0.430053	1.067649	1.002966	0.922937	0.77598	0.601357	0.54575	0.621918	0.555429	0.474139	0.62913	0.796512	0.315717	0.674966	0.859652	0.924105	0.768243	0.682701	0.845674	0.675322	0.71721	0.454544	0.844246	0.516885	0.529029	0.804448	0.502501	0.503792	0.81993	0.518768	0.527762	0.962345	0.881956	0.910885	0.420365	0.603606	0.668359	0.452861	0.492122	1.166457	0.775395	0.213252	0.59504	0.653108	0.608631	0.787601
sp1017.486420	0.605839	0.44658	0.666666	0.404643	0.403419	0.0	0.461954	0.733074	0.358222	0.548161	0.460265	0.479172	0.988989	0.644008	0.57696	1.004118	0.939435	0.859406	0.767567	0.53223	0.517535	0.750755	0.54504	0.463288	0.651267	0.732981	0.396048	0.714885	0.796121	0.860574	0.775564	0.690022	0.841719	0.690901	0.776977	0.530553	0.780715	0.547426	0.508948	0.740917	0.524638	0.563559	0.756399	0.550499	0.516345	0.907194	0.818425	0.902974	0.518412	0.542181	0.70799	0.583986	0.458773	1.171492	0.782716	0.360903	0.580733	0.631467	0.615952	0.727726
ANT04.S2M1.607431	0.637519	0.449626	0.628654	0.572363	0.592081	0.461954	0.0	0.800836	0.381556	0.567287	0.626387	0.442602	1.007231	0.713612	0.65556	1.017788	0.953105	0.873076	0.626985	0.608718	0.547139	0.813571	0.639956	0.534122	0.723227	0.746651	0.51758	0.805823	0.809791	0.874244	0.860086	0.774544	0.917861	0.793691	0.844739	0.665145	0.794385	0.6182	0.536944	0.825439	0.60814	0.588585	0.840921	0.588735	0.558515	0.843738	0.832095	0.899884	0.675212	0.579497	0.707172	0.63831	0.570447	1.273096	0.867238	0.576751	0.595919	0.577917	0.700474	0.745968
UQ288.591065	0.508365	0.835534	0.801626	0.762237	0.669123	0.733074	0.800836	0.0	0.805526	0.718535	0.733529	0.824116	1.123355	0.610392	0.686568	1.133912	1.064657	0.9892	0.816197	0.648764	0.697685	0.825087	0.711492	0.608136	0.693625	0.849059	0.611482	0.778633	0.919057	0.981224	0.818504	0.732962	0.904823	0.805711	0.702037	0.643723	0.899079	0.579376	0.617776	0.854709	0.60746	0.596021	0.870191	0.597829	0.743025	1.02175	0.941361	0.939124	0.679722	0.662247	0.87389	0.716322	0.694039	1.296018	0.825656	0.678345	0.644325	0.661685	0.658892	0.90564
sp0759.486364	0.684265	0.214426	0.64633	0.536833	0.565707	0.358222	0.381556	0.805526	0.0	0.545991	0.601011	0.206656	0.990589	0.71646	0.672414	1.005718	0.941035	0.861006	0.769167	0.605868	0.584829	0.823207	0.632074	0.534084	0.689737	0.734581	0.498758	0.791507	0.797721	0.862174	0.848016	0.762474	0.914171	0.768709	0.849429	0.646751	0.782315	0.596546	0.587374	0.813369	0.554052	0.636011	0.828851	0.594801	0.548207	0.908794	0.820025	0.904574	0.646152	0.598921	0.70959	0.65828	0.506219	1.248114	0.855168	0.525223	0.470895	0.640011	0.688404	0.729326
nest.WY.2008.3.712186.739059	0.61848	0.514325	0.569455	0.629752	0.6077	0.548161	0.567287	0.718535	0.545991	0.0	0.651842	0.564581	0.940992	0.673215	0.671491	0.953835	0.889152	0.809123	0.726602	0.506061	0.51543	0.804634	0.544783	0.505767	0.559782	0.743186	0.503027	0.701826	0.745838	0.810291	0.840771	0.755229	0.861242	0.681344	0.751408	0.572886	0.730432	0.523511	0.584881	0.81161	0.504063	0.613952	0.827092	0.548064	0.538018	0.848531	0.768142	0.801521	0.588125	0.612664	0.674547	0.700123	0.48602	1.252953	0.847923	0.570948	0.543226	0.561906	0.681159	0.654551
