Chafron_OTU	GreenGenes_13_5
otu_b103338	4392188
otu_b103377	205571
otu_b10342	530928
otu_b103449	1127530
otu_b10347	348790
otu_b1035	166064
otu_b103551	205241
otu_b10357	554461
otu_b1036	74559
otu_b103608	203918
otu_b10363	195385
otu_b10366	336156
otu_b103684	164668
otu_b1037	1084865
otu_b103717	3121
otu_b10374	307169
otu_b10377	311291
otu_b10379	289257
otu_b10381	776019
otu_b103842	3954599
otu_b10385	2526440
otu_b10388	157497
otu_b104	998869
otu_b10401	1136443
otu_b104034	4342682
otu_b104082	205417
otu_b1041	2973395
otu_b10415	300582
otu_b1042	817783
otu_b10421	347362
otu_b10428	348675
otu_b1043	4322642
otu_b104321	183438
otu_b104401	2137906
otu_b10444	261328
otu_b10445	616848
otu_b10447	365220
otu_b104482	539547
otu_b10449	579128
otu_b10450	63759
otu_b10452	816268
otu_b10454	153989
otu_b104549	203357
otu_b10456	244802
otu_b104586	529067
otu_b10460	577679
otu_b104644	108916
otu_b104684	696532
otu_b104745	4465523
otu_b10476	1571092
otu_b104770	202619
otu_b104780	2916967
otu_b1048	1696853
otu_b104861	199002
otu_b1049	220168
otu_b104927	200861
otu_b104933	552708
otu_b104944	89643
otu_b105014	198587
otu_b105093	214919
otu_b105140	695835
otu_b10520	299851
otu_b10522	4365141
otu_b10523	4410497
otu_b10526	4093636
otu_b10528	137397
otu_b105288	181111
otu_b1053	4411669
otu_b105315	198037
otu_b105339	830764
otu_b105348	3610691
otu_b105353	200507
otu_b10539	4466900
otu_b10542	1117992
otu_b10544	1125320
otu_b10549	540122
otu_b10550	349161
otu_b10551	359953
otu_b10552	8966
otu_b105524	108156
otu_b10555	348506
otu_b105564	4407278
otu_b105582	245324
otu_b105584	212698
otu_b105586	195865
otu_b10559	307666
otu_b105593	195941
otu_b105594	194430
otu_b105607	362342
otu_b105611	367688
otu_b105613	3604981
otu_b105629	171772
otu_b105640	194572
otu_b105643	1105376
otu_b105671	184592
otu_b105688	187891
otu_b105693	178767
otu_b10570	190226
otu_b105701	851322
otu_b105711	187384
otu_b105723	199543
otu_b105725	570507
otu_b105738	187008
otu_b105741	524219
otu_b105746	2816368
otu_b105758	515953
otu_b105770	184984
otu_b105774	199476
otu_b105783	178762
otu_b105834	195429
otu_b105855	180637
otu_b105857	183401
otu_b105865	171772
otu_b10587	100889
otu_b105871	308045
otu_b105883	168383
otu_b105898	194322
otu_b105940	186143
otu_b105944	196724
otu_b105949	370183
otu_b105968	4093636
otu_b105971	195095
otu_b105976	182062
otu_b105980	193623
otu_b105993	186585
otu_b106	1125248
otu_b106011	179526
otu_b106021	525215
otu_b106029	309489
otu_b106037	4346675
otu_b10606	308419
otu_b106067	4108811
otu_b10608	737344
otu_b10609	355102
otu_b106098	179692
otu_b10610	112374
otu_b106103	183799
otu_b106107	3855938
otu_b106112	174629
otu_b106137	589313
otu_b106151	198990
otu_b106152	368264
otu_b106153	362342
otu_b106158	178701
otu_b106172	183630
otu_b106183	198945
otu_b106189	15728
otu_b106199	546406
otu_b10620	3563235
otu_b106252	196370
otu_b106258	193575
otu_b106262	332210
otu_b106264	363794
otu_b106270	191922
otu_b106276	175279
otu_b106287	16054
otu_b10629	338052
otu_b106310	198783
otu_b106319	190987
otu_b106323	199692
otu_b106326	844589
otu_b106327	179018
otu_b106362	210647
otu_b106386	185765
otu_b106388	189971
otu_b106404	179609
otu_b106407	186351
otu_b106408	249819
otu_b106416	198646
otu_b106440	195512
otu_b106465	185516
otu_b106466	363029
otu_b10647	310003
otu_b106488	210647
otu_b106496	297635
otu_b106499	190407
otu_b106509	195941
otu_b106520	438128
otu_b106532	198490
otu_b106567	4093636
otu_b106571	1111079
otu_b106577	193710
otu_b106631	195941
otu_b106636	195865
otu_b106648	185951
otu_b106660	3430935
otu_b1067	2904384
otu_b106722	186381
otu_b106727	754823
otu_b106729	194471
otu_b106733	180654
otu_b106744	198192
otu_b106747	178701
otu_b106749	193575
otu_b10675	4377697
otu_b106782	194112
otu_b10679	40546
otu_b10682	281078
otu_b106823	192935
otu_b10684	222755
otu_b106840	212698
otu_b106849	4346675
otu_b106866	176735
otu_b106896	2032544
otu_b106927	183245
otu_b106936	179151
otu_b106953	108912
otu_b106961	363794
otu_b106968	367790
otu_b107007	197830
otu_b107009	175570
otu_b107014	357020
otu_b107016	183601
otu_b107017	4380645
otu_b107021	174950
otu_b107045	180341
otu_b107055	191913
otu_b107070	182940
otu_b107096	4472794
otu_b107109	186321
otu_b10711	268683
otu_b107123	4319519
otu_b107141	191922
otu_b107155	177175
otu_b107156	359538
otu_b107181	360636
otu_b107185	918313
otu_b107187	368203
otu_b10719	233191
otu_b107206	196724
otu_b107216	180216
otu_b107238	187153
otu_b107256	197500
otu_b107267	197481
otu_b107291	192396
otu_b107309	268475
otu_b107321	369027
otu_b10734	332084
otu_b107347	265106
otu_b107362	104646
otu_b10737	328628
otu_b107373	185148
otu_b107383	195429
otu_b107423	130773
otu_b107432	174138
otu_b107462	197208
otu_b10749	46910
otu_b107491	365484
otu_b107517	182233
otu_b107518	198916
otu_b10755	299851
otu_b107550	187008
otu_b107566	188234
otu_b10757	157327
otu_b107595	197022
otu_b107605	326076
otu_b107635	192998
otu_b107636	182343
otu_b107690	191734
otu_b10770	165935
otu_b107716	181419
otu_b107734	196832
otu_b107772	3392847
otu_b107826	365484
otu_b10784	663718
otu_b107848	189530
otu_b107854	344394
otu_b107856	2545820
otu_b10789	234255
otu_b107907	188433
otu_b107912	4425368
otu_b107913	176564
otu_b107945	165118
otu_b107990	430194
otu_b107993	177732
otu_b108	1024529
otu_b108043	193744
otu_b108053	196382
otu_b10807	2854740
otu_b108075	193846
otu_b108079	363794
otu_b108086	184465
otu_b10814	1123592
otu_b108146	190100
otu_b108156	183425
otu_b108159	174644
otu_b108163	539581
otu_b108215	4392196
otu_b10822	324875
otu_b10824	4420570
otu_b108249	196100
otu_b108283	358265
otu_b108287	180975
otu_b10830	701410
otu_b108306	177581
otu_b108313	194512
otu_b108318	195997
otu_b108326	4375145
otu_b108327	184141
otu_b10834	693971
otu_b108377	3856408
otu_b108381	261551
otu_b108407	187008
otu_b10842	268880
otu_b108450	186381
otu_b108458	368203
otu_b108465	178762
otu_b108478	195769
otu_b108546	179989
otu_b108550	195676
otu_b108575	183544
otu_b1086	649271
otu_b10860	137827
otu_b108605	195599
otu_b108606	193367
otu_b108613	363794
otu_b10862	256089
otu_b108628	180112
otu_b108636	212698
otu_b10864	518021
otu_b108675	3604981
otu_b108699	174644
otu_b10875	173810
otu_b108768	178701
otu_b108779	194430
otu_b1088	156452
otu_b108812	192834
otu_b108854	166848
otu_b108860	180572
otu_b108869	198830
otu_b108879	195213
otu_b108914	195157
otu_b108929	174644
otu_b108948	195105
otu_b108983	179865
otu_b109	353532
otu_b1090	694869
otu_b109026	844359
otu_b109043	2829179
otu_b109044	194962
otu_b109076	183044
otu_b10909	729365
otu_b109092	147702
otu_b109109	192963
otu_b109113	194863
otu_b10912	1110174
otu_b109132	172640
otu_b10914	348009
otu_b109141	4331364
otu_b109157	182933
otu_b10918	96894
otu_b109196	194756
otu_b1092	359435
otu_b109222	189987
otu_b109265	195865
otu_b109266	195865
otu_b109325	2487129
otu_b109360	81512
otu_b109362	185411
otu_b109366	194513
otu_b109373	182522
otu_b109387	349482
otu_b10939	314406
otu_b10941	292315
otu_b109414	179018
otu_b10942	126392
otu_b109434	194417
otu_b109438	4472794
otu_b109451	176113
otu_b10947	192664
otu_b109476	2424737
otu_b109479	77438
otu_b10948	3424623
otu_b109498	72420
otu_b10951	548055
otu_b109516	174644
otu_b109525	194286
otu_b10953	289257
otu_b109530	357853
otu_b109560	308045
otu_b10961	2971192
otu_b109610	189296
otu_b10962	3932820
otu_b109622	194151
otu_b109632	195095
otu_b109640	187932
otu_b109645	358265
otu_b10966	798250
otu_b10968	329244
otu_b109683	197790
otu_b109687	194053
otu_b10969	1024529
otu_b109695	140611
otu_b109727	620519
otu_b10977	1135084
otu_b109772	192261
otu_b10978	290663
otu_b109812	193863
otu_b10985	179151
otu_b109854	176151
otu_b109876	185568
otu_b109948	193654
otu_b109960	817963
otu_b109990	193592
otu_b110	85407
otu_b110023	840027
otu_b110038	212698
otu_b110068	191734
otu_b11009	321135
otu_b11010	302975
otu_b110117	174950
otu_b11017	4374930
otu_b11023	850586
otu_b110244	188289
otu_b110251	193221
otu_b110261	193209
otu_b110271	3265556
otu_b11028	264229
otu_b110301	3450454
otu_b110307	60011
otu_b110359	266621
otu_b11037	49435
otu_b11038	350165
otu_b110389	185731
otu_b1104	4437581
otu_b11045	289257
otu_b11047	308567
otu_b1105	8315
otu_b110542	192834
otu_b11056	290963
otu_b11057	299659
otu_b110570	167882
otu_b110574	182514
otu_b110576	194512
otu_b110578	178859
otu_b11060	1111247
otu_b110607	2532173
otu_b110615	143130
otu_b110628	120281
otu_b110711	167338
otu_b110723	245324
otu_b110727	4381303
otu_b110745	192536
otu_b110750	197649
otu_b11076	109978
otu_b110761	192514
otu_b110764	195865
otu_b110778	791522
otu_b1108	368203
otu_b110815	183698
otu_b110834	183564
otu_b110878	4366089
otu_b110911	192282
otu_b110977	198830
otu_b1110	4442130
otu_b111005	189866
otu_b111038	107044
otu_b111039	4446669
otu_b111050	4381639
otu_b111079	192041
