	M11Nstl.140810	B.2004.01.S1.405609	C.3037.01.S1.405123	FL.3.32a.3.281781	H55Kc.735962	SE.20100928.GY.NF008.BC.093.a.673660	UQ288.591065	sp0193.486346	EM086.441698	L08A095.799873	bb08145b2a3724c42967dc2dbdab5c3b	b76ecf3dd46fcab94418c68c6fcd8ada	ME10May08EB1R1.486639	mf2188.633126	920cce1ef960ffc7343eb5628636a37e	cf1170.632724	6b3f4f4e221ccf8bbfc57e52791ed288	B26.737560	H60Do.735986	10.8.12.rk.st.0800.1123130	9f400082bffeb4494d4497ef084ffe94	NA.15.T0.830848	Zambon.Leftpalm.983763	cf1126.633182	SPM1x030408.142594	ANT04.S2M1.607431	4d366f8db0835339ed3c686415599480	SPM1x040108.142616	50.col.lumen.TG.676359	CBE09Aug07.617917	HI.20.35e.2.281673	TVF.2004.Loc4.D10.Rep1.414474	1204BCDNA.486523	nest.WY.2008.3.712186.739059	E3E04.826190	sp1017.486420	WT07L.478428	SE.20101009.GY.ALTFF002.BC.225.415346	TS152.2.299097	must.18.1128116	sp1565.486407	F32Hair.140769	Calh5.385340	FL.3.26a.1.281867	TS1.2.299121	soil1.T3U1.536591	F31Forr.140586	sp0759.486364	Myr.tri.Seat.4.03H10.653706	S00305.543918	fut2negative.day56.70.Regular.1004900	TBH12Aug08.618303	PM8x30308.142380	Turkey.Stool.983766	42265f3f55dd9c4c9b4feaee53b1f4fc	CU3258.141544	75f78e4c6e0dc6e4a62f570c1bc9a339	P.Dois.Rios.SB.414865	21.ill.mucosa.WT.676371	SSBE21Aug08.618423
M11Nstl.140810	0.0	0.789530904685	0.940495105008	0.530389515347	0.483450969305	0.580934103393	0.633412245557	0.75719825525	0.82693276252	0.577125573506	0.640115555556	0.749712758621	0.555676875	0.719184444444	0.530585833333	0.785063995585	0.608135714286	0.604767857143	0.60205628433	0.924240549273	0.585346666667	0.709149709208	0.94537006462	0.710259521073	0.753067592892	0.575608546042	0.546904	0.765365831987	0.925590452342	0.447082003231	0.547961718377	0.578447399031	0.671741163166	0.631903537964	0.57788447496	0.701791453958	0.82367	0.583432439418	0.771894668821	0.736043424879	0.766339305331	0.435544313409	0.4998739783	0.516840158451	0.788613085622	0.609964959612	0.555695072698	0.652960726979	0.390865896607	0.580451243942	0.807748820679	0.589443780291	0.745359515347	0.675794087237	0.67381875	0.582411712439	1.05187444444	0.522189386107	0.730478917609	0.594308449111
B.2004.01.S1.405609	0.789530904685	0.0	0.575934844066	0.823260676692	0.810384277035	0.803484123127	0.866221028757	0.723529692183	0.310463754557	0.782063519644	1.03494111111	0.541759655172	0.73515875	0.480377777778	0.829878333333	0.501218233996	0.89341047619	0.816405	0.612907040816	0.543932839206	0.883722222222	0.503743402187	0.572192466586	0.41207940613	0.438769229391	0.74937744836	0.671987	0.409420316092	0.543353435897	0.839833418388	0.820889212411	0.815659113001	0.790476087485	0.70100218712	0.885113766707	0.78512945727	0.69149375	0.801658675577	0.332794103535	0.943126994735	0.721906476306	0.936213614072	0.851729638336	0.818567007042	0.290302243108	0.775843410288	0.904094379133	0.769218432564	0.832657156744	0.709303777315	0.323308757576	0.815030968003	0.402438632789	0.708626686918	0.68881375	0.760657468354	1.53443333333	0.779492847307	0.539244152431	0.855646415553
C.3037.01.S1.405123	0.940495105008	0.575934844066	0.0	0.925723120301	0.942677633362	0.890646040665	0.963481193704	0.697575925885	0.520613643641	0.870995110733	1.07930111111	0.875934482759	0.776079375	1.02829777778	0.909935833333	0.832775827815	0.947693333333	0.910873214286	0.74451682398	0.502637780936	0.839718888889	0.78768191408	0.385672294491	0.585529061303	0.651854157706	0.843983914517	0.782475	0.627930445402	0.589211346154	0.943254250485	0.921450692124	0.911155311544	0.890854326629	0.791634419545	0.980709218408	0.876594224967	0.595750416667	0.893681500875	0.673147380051	1.03034215268	0.757944333188	1.03621717484	0.929347504521	0.93054653169	0.690390350877	0.875174940971	0.992132990448	0.849344956275	0.941641524923	0.920331030177	0.485190742424	0.910937193922	0.618758354507	0.8551442993	0.87280625	0.873707579114	1.45466777778	0.86631566244	0.836755768725	0.939273960429
FL.3.32a.3.281781	0.530389515347	0.823260676692	0.925723120301	0.0	0.525036203008	0.501087017544	0.551390238095	0.68390735589	0.814135651629	0.442827781955	0.446252222222	0.701297241379	0.673736875	0.87293	0.495625277778	0.792572362031	0.582972380952	0.594411428571	0.491550877193	0.932861716792	0.549481111111	0.728305162907	0.945956641604	0.752865632184	0.76859433584	0.553055513784	0.567196	0.75763056391	0.925960128205	0.4742160401	0.261780859189	0.371736253133	0.551378671679	0.496000275689	0.560382857143	0.618209611529	0.786470416667	0.493266177945	0.796311992481	0.691003972431	0.690802556391	0.660635200501	0.285619186257	0.341698538732	0.80332933584	0.359301077694	0.605332944862	0.573295388471	0.523482719298	0.688394774436	0.826375333333	0.488449799499	0.751501065163	0.741146591479	0.52255875	0.57292	1.30651888889	0.440339323308	0.766139763469	0.458251804511
H55Kc.735962	0.483450969305	0.810384277035	0.942677633362	0.525036203008	0.0	0.499930796653	0.710137354099	0.705279766559	0.819553870082	0.428600097956	0.619106666667	0.699572413793	0.716398125	0.5753	0.425721111111	0.805433311258	0.668708571429	0.515887857143	0.522014451531	0.940393940937	0.494893333333	0.758561729852	0.97050170862	0.768088007663	0.774620528674	0.545444332724	0.51744	0.767532133621	0.924779307692	0.547175134386	0.574155131265	0.559305961187	0.606729959921	0.619096750809	0.413805080158	0.614365044298	0.863154583333	0.505665121643	0.790105397727	0.656585429849	0.70548279145	0.699683933902	0.560924285714	0.583343855634	0.819054448622	0.573606505414	0.603491572373	0.611516807059	0.432890225229	0.611859438085	0.827759121212	0.538881774715	0.704687162734	0.578951287442	0.55512	0.58040625	1.06132222222	0.475387325271	0.695783587385	0.484855953567
SE.20100928.GY.NF008.BC.093.a.673660	0.580934103393	0.803484123127	0.890646040665	0.501087017544	0.499930796653	0.0	0.656572922917	0.556513216096	0.804646917887	0.394071054089	0.597148888889	0.768292413793	0.649946875	0.714777777778	0.383081666667	0.776951280353	0.586768571429	0.442344642857	0.595460535714	0.915827784114	0.475966666667	0.741232423634	0.936214487613	0.783574291188	0.766894453405	0.378477788628	0.604452	0.753506867816	0.890542641026	0.52919837074	0.522693675418	0.505593585507	0.422913596823	0.62050810516	0.440528498661	0.46396214899	0.91555875	0.283631644105	0.766029968434	0.696963019257	0.562306580167	0.734682729211	0.526926329114	0.568008204225	0.800298007519	0.515727171088	0.686015378398	0.461252675697	0.550836042406	0.753303111342	0.812959530303	0.452398152102	0.759058475499	0.716067569778	0.49734	0.523909098101	1.41812555556	0.369002076402	0.763081038108	0.439887443972
UQ288.591065	0.633412245557	0.866221028757	0.963481193704	0.551390238095	0.710137354099	0.656572922917	0.0	0.808558524486	0.875254569991	0.598918741482	0.707918888889	0.816123448276	0.70633125	0.883434444444	0.696551111111	0.839758454746	0.750269047619	0.669534285714	0.688855633503	0.988301289206	0.724026666667	0.735344834714	1.00506874662	0.814677318008	0.809567553763	0.704076251447	0.674794	0.818885481322	0.967008846154	0.59938902189	0.538311360382	0.509780182845	0.743269841133	0.633630846306	0.732904985235	0.785882351586	0.9712875	0.652945703858	0.836178876263	0.819942988308	0.843778053318	0.73359836887	0.556204050633	0.540059982394	0.864667857143	0.497111238612	0.719667215283	0.74887097281	0.670064673707	0.715289573361	0.88090130303	0.66436284258	0.820754053237	0.831525602206	0.59178	0.722102151899	1.20695555556	0.599446056172	0.803949001314	0.674744281529
sp0193.486346	0.75719825525	0.723529692183	0.697575925885	0.68390735589	0.705279766559	0.556513216096	0.808558524486	0.0	0.689287469122	0.602248620102	0.837585555556	0.962963448276	0.741465	0.78313	0.585488611111	0.942319580574	0.861383333333	0.59752	0.680144039116	0.725985850305	0.679161111111	0.838467579714	0.740608587838	0.732152298851	0.774545824373	0.472326046474	0.734619	0.763992140805	0.755702512821	0.713643840399	0.704065704057	0.672165414533	0.46022714145	0.554513747519	0.75911050766	0.394790938874	0.581584166667	0.618243031346	0.788944924242	0.857282145805	0.216701179099	0.877489339019	0.705430904159	0.721679524648	0.797784786967	0.628128479368	0.834997825129	0.315218932413	0.754243335533	0.892925348595	0.707079181818	0.682049750683	0.766693218391	0.800811116447	0.62556	0.626961598101	1.37169444444	0.616178888641	0.884108015769	0.678838001318
EM086.441698	0.82693276252	0.310463754557	0.520613643641	0.814135651629	0.819553870082	0.804646917887	0.875254569991	0.689287469122	0.0	0.788107898211	0.928923333333	0.601027241379	0.784781875	0.582855555556	0.836108333333	0.613655275938	0.929994285714	0.810968214286	0.602257988946	0.403438747713	0.944388888889	0.524817176349	0.502113810613	0.423222739464	0.409256469534	0.759459989707	0.761932	0.406020675287	0.471303641026	0.858793513439	0.827159498807	0.825437633806	0.799728090119	0.70872690645	0.905566254575	0.794608290256	0.6885925	0.814027231244	0.437734823232	0.94190758597	0.7019784172	0.954295660981	0.837231844485	0.826787640845	0.488861115288	0.780043167887	0.907171204996	0.763468667658	0.832662541171	0.749454973985	0.271835909091	0.830942623513	0.398608402904	0.70360731473	0.7150275	0.800304351266	1.45356777778	0.787100339661	0.570962628121	0.853942692132
L08A095.799873	0.577125573506	0.782063519644	0.870995110733	0.442827781955	0.428600097956	0.394071054089	0.598918741482	0.602248620102	0.788107898211	0.0	0.572955555556	0.729994827586	0.654734375	0.680785555556	0.308438611111	0.80906419426	0.569469047619	0.398662857143	0.498381611395	0.890691678024	0.566843333333	0.704494972317	0.907961931431	0.763688927203	0.74556421147	0.465587133731	0.608267	0.736121989943	0.886597269231	0.489589395955	0.475199904535	0.46590116908	0.488292144378	0.474689505963	0.4384075	0.510604584753	0.815699166667	0.406369559199	0.762533251263	0.704247248968	0.634475677172	0.718987739872	0.505898426763	0.540673397887	0.786063884712	0.361590368399	0.649349390154	0.478034540034	0.549382557496	0.739788220604	0.774114681818	0.439706056218	0.723764633999	0.664684143952	0.52117	0.462065632911	0.791518888889	0.402453560477	0.769101208936	0.413257325383
