	M11Nstl.140810	B.2004.01.S1.405609	C.3037.01.S1.405123	FL.3.32a.3.281781	H55Kc.735962	SE.20100928.GY.NF008.BC.093.a.673660	UQ288.591065	sp0193.486346	EM086.441698	L08A095.799873	bb08145b2a3724c42967dc2dbdab5c3b	b76ecf3dd46fcab94418c68c6fcd8ada	ME10May08EB1R1.486639	mf2188.633126	920cce1ef960ffc7343eb5628636a37e	cf1170.632724	6b3f4f4e221ccf8bbfc57e52791ed288	B26.737560	H60Do.735986	10.8.12.rk.st.0800.1123130	9f400082bffeb4494d4497ef084ffe94	NA.15.T0.830848	Zambon.Leftpalm.983763	cf1126.633182	SPM1x030408.142594	ANT04.S2M1.607431	4d366f8db0835339ed3c686415599480	SPM1x040108.142616	50.col.lumen.TG.676359	CBE09Aug07.617917	HI.20.35e.2.281673	TVF.2004.Loc4.D10.Rep1.414474	1204BCDNA.486523	nest.WY.2008.3.712186.739059	E3E04.826190	sp1017.486420	WT07L.478428	SE.20101009.GY.ALTFF002.BC.225.415346	TS152.2.299097	must.18.1128116	sp1565.486407	F32Hair.140769	Calh5.385340	FL.3.26a.1.281867	TS1.2.299121	soil1.T3U1.536591	F31Forr.140586	sp0759.486364	Myr.tri.Seat.4.03H10.653706	S00305.543918	fut2negative.day56.70.Regular.1004900	TBH12Aug08.618303	PM8x30308.142380	Turkey.Stool.983766	42265f3f55dd9c4c9b4feaee53b1f4fc	CU3258.141544	75f78e4c6e0dc6e4a62f570c1bc9a339	P.Dois.Rios.SB.414865	21.ill.mucosa.WT.676371	SSBE21Aug08.618423
M11Nstl.140810	0.0	0.799161001616	0.926872633279	0.542160613893	0.469015185784	0.577178239095	0.633693974152	0.739935185784	0.819206526656	0.566019903069	0.629211111111	0.737425172414	0.525289375	0.77686	0.579213888889	0.78289410596	0.663130952381	0.610689642857	0.613635831987	0.914962310178	0.564154444444	0.708942600969	0.960920646204	0.703879367816	0.743700016155	0.557754668821	0.496493	0.747757075929	0.915432197092	0.458710500808	0.583880286396	0.569118594507	0.660040306947	0.61031917609	0.580249628433	0.691915541195	0.819842083333	0.581656042003	0.774529854604	0.726679466882	0.772090662359	0.453898594507	0.514501681736	0.537765880282	0.795727980614	0.600297835218	0.587479434572	0.660357075929	0.407930242326	0.613084232633	0.821366009693	0.605538546042	0.736918998384	0.658742116317	0.501104375	0.602003861066	1.48958444444	0.534813489499	0.719081308562	0.572931970921
B.2004.01.S1.405609	0.799161001616	0.0	0.59849144998	0.809510075188	0.813304625354	0.807329918996	0.871316415553	0.717493612799	0.320433973269	0.772561944107	0.942103333333	0.561349655172	0.770281875	0.593273333333	0.783061944444	0.521042715232	0.817153809524	0.740700357143	0.610858962585	0.570451579587	0.856352222222	0.486932879708	0.574214277035	0.422268141762	0.419798181004	0.752016059133	0.722587	0.42221783046	0.559703871795	0.846565828271	0.824072911695	0.808514382341	0.792775686513	0.704555864723	0.886052519239	0.783442409883	0.770943333333	0.799049003645	0.344575978535	0.948658144998	0.727041255569	0.940644744136	0.819561681736	0.830947306338	0.335090576441	0.779913932766	0.901879875092	0.766383414338	0.839133624949	0.718035733611	0.297378984848	0.827504754962	0.407613097399	0.707765589307	0.74071625	0.807532626582	1.36989666667	0.772284050223	0.544827306176	0.844362895909
C.3037.01.S1.405123	0.926872633279	0.59849144998	0.0	0.908727994987	0.940374257761	0.890424069742	0.960617685833	0.701276803673	0.523041244282	0.869991194634	0.984085555556	0.97193137931	0.786284375	0.537732222222	0.894066944444	0.828348256071	0.984701904762	0.876293214286	0.767826292517	0.501215510494	1.03224111111	0.773971870354	0.386693486008	0.597206398467	0.640511137993	0.845203635767	0.933914	0.660125057471	0.620288358974	0.942251839845	0.918118806683	0.908855555313	0.887038116528	0.795727929602	0.978436718408	0.881881211194	0.540067916667	0.896755678837	0.643868819444	1.03108347662	0.753610130083	1.0360711194	0.93043124774	0.922923943662	0.702483521303	0.87055038369	0.995855892726	0.849958406209	0.937720517053	0.904277304891	0.502402	0.908673561434	0.615591397459	0.848759632707	0.8851825	0.867889462025	1.61586222222	0.872593186489	0.850472588699	0.937570479886
FL.3.32a.3.281781	0.542160613893	0.809510075188	0.908727994987	0.0	0.533171741855	0.514794536341	0.568859310777	0.69028933584	0.814902907268	0.438642756892	0.483508888889	0.744154482759	0.632411875	0.832104444444	0.482491944444	0.797571390728	0.692718095238	0.479935714286	0.48786254386	0.927285864662	0.642071111111	0.730770776942	0.950105401003	0.749086800766	0.764080300752	0.560601654135	0.575252	0.752170137845	0.906136038462	0.469880075188	0.275585799523	0.355518408521	0.528534160401	0.554653120301	0.560854473684	0.623828308271	0.80363875	0.492891102757	0.775614110276	0.683172631579	0.687599085213	0.669825626566	0.306528444846	0.309313573944	0.811293433584	0.350058521303	0.601662669173	0.573766077694	0.533301065163	0.709993245614	0.816482939394	0.49283593985	0.763711879699	0.726033546366	0.53100875	0.573416186709	1.04312333333	0.431159962406	0.756190459921	0.460059135338
H55Kc.735962	0.469015185784	0.813304625354	0.940374257761	0.533171741855	0.0	0.50014330263	0.711927793559	0.709613956546	0.823446853843	0.424345890119	0.635057777778	0.704021724138	0.705814375	0.655298888889	0.477916944444	0.788126600442	0.590690952381	0.566523214286	0.502516254252	0.94332585336	0.401384444444	0.756411101347	0.970998254113	0.721493218391	0.769555143369	0.544781529321	0.548475	0.778937413793	0.939378820513	0.549424003879	0.578099164678	0.560782955984	0.606697273239	0.623035653213	0.420093055126	0.613402500352	0.854277083333	0.505367478554	0.795895662879	0.64298980055	0.705161096189	0.687266460554	0.575848517179	0.598411496479	0.822536403509	0.570780734777	0.610640382072	0.609046677682	0.43416201716	0.605701904266	0.83310519697	0.540408822247	0.690660550514	0.577852756293	0.66645875	0.573011487342	1.16944444444	0.47826099775	0.694068423127	0.486972813827
SE.20100928.GY.NF008.BC.093.a.673660	0.577178239095	0.807329918996	0.890424069742	0.514794536341	0.50014330263	0.0	0.656022249652	0.557624210574	0.811193254803	0.394167406303	0.644031111111	0.806526551724	0.6238775	0.642873333333	0.373650277778	0.769189403974	0.47223047619	0.393097857143	0.579214842687	0.915104239308	0.521686666667	0.741498497782	0.93384682545	0.788495708812	0.757755645161	0.377615125443	0.582681	0.756798081897	0.901043564103	0.519229257412	0.519752959427	0.507436462725	0.420672685581	0.621795596932	0.441988122754	0.464248889826	0.7906175	0.282248569056	0.768937411616	0.694297747593	0.56142784702	0.744274658849	0.537612242315	0.542605246479	0.795771077694	0.520107678859	0.683978008817	0.461774216377	0.549482610346	0.743173756504	0.82686369697	0.452227959666	0.761658868724	0.715941003756	0.5235175	0.531043291139	0.986662222222	0.370918022997	0.757064191853	0.440061772374
UQ288.591065	0.633693974152	0.871316415553	0.960617685833	0.568859310777	0.711927793559	0.656022249652	0.0	0.809631724505	0.881248619625	0.593567612862	0.810411111111	0.803152413793	0.67684375	0.850687777778	0.725885555556	0.854550022075	0.731065714286	0.668882857143	0.688315123299	0.987023509165	0.745246666667	0.737105366976	1.00681270439	0.805603103448	0.818221792115	0.702006893293	0.717344	0.818021113506	0.963641025641	0.601081950679	0.560929355609	0.510272757554	0.743725124968	0.630720444946	0.733270090832	0.787528530864	0.963419166667	0.649944560842	0.838012329545	0.827307788858	0.843955869457	0.71802228145	0.554995696203	0.51440181338	0.852816817043	0.49461625	0.726075326965	0.74889637547	0.668993286033	0.727362611863	0.872512575758	0.664545207579	0.815120030248	0.825892665113	0.63422875	0.731013718354	1.52117888889	0.598679086962	0.808912023653	0.672158650212
sp0193.486346	0.739935185784	0.717493612799	0.701276803673	0.69028933584	0.709613956546	0.557624210574	0.809631724505	0.0	0.690817957457	0.601186871806	0.886254444444	0.907144482759	0.684991875	0.679455555556	0.686213055556	0.935750684327	0.793826666667	0.6798925	0.674996164966	0.723386233198	0.605762222222	0.836995207967	0.739617836149	0.748909233716	0.768990761649	0.471390575688	0.750648	0.768269583333	0.758171487179	0.716159105015	0.694261217184	0.671857888432	0.461719051697	0.55488895948	0.759391062416	0.398060702767	0.660055833333	0.616039312006	0.784365852273	0.864088136176	0.214098873976	0.883698315565	0.697056745027	0.714641690141	0.804074949875	0.628921795284	0.827585444526	0.31436058677	0.748983422985	0.888040759625	0.705735363636	0.683492586245	0.777197628554	0.805027144691	0.638001875	0.63980375	1.39026666667	0.61638672127	0.885701458607	0.670705218983
EM086.441698	0.819206526656	0.320433973269	0.523041244282	0.814902907268	0.823446853843	0.811193254803	0.881248619625	0.690817957457	0.0	0.790459361158	0.969137777778	0.645794827586	0.784280625	0.642003333333	0.829066944444	0.598792693157	0.923292857143	0.770150714286	0.59720400085	0.394147598353	0.75239	0.532977151189	0.489218124428	0.439348524904	0.432780125448	0.757321432983	0.665882	0.414993843391	0.435471307692	0.86376195345	0.810217661098	0.825446896157	0.801308626487	0.704344398445	0.900102208371	0.795660675892	0.682542083333	0.810075615279	0.45876592803	0.949373596974	0.700797827081	0.950961108742	0.844202097649	0.841662306338	0.477254837093	0.782947145471	0.914925407788	0.7640294785	0.830922335316	0.739806118626	0.287088409091	0.830925212717	0.408632202057	0.694253741995	0.7170075	0.795768971519	1.28999666667	0.786074276075	0.579033639947	0.851103294831
L08A095.799873	0.566019903069	0.772561944107	0.869991194634	0.438642756892	0.424345890119	0.394167406303	0.593567612862	0.601186871806	0.790459361158	0.0	0.662832222222	0.771412068966	0.635218125	0.712501111111	0.293710833333	0.799778520971	0.535572380952	0.447267857143	0.503188035714	0.897400704855	0.639198888889	0.703452642675	0.9162695954	0.744108256705	0.729495215054	0.472407453152	0.600885	0.730578613506	0.891031294872	0.493542194514	0.505738639618	0.459909188671	0.476145534497	0.473915491908	0.432770410988	0.524225251278	0.7165225	0.419936552385	0.755295751263	0.71585389271	0.62547863075	0.728577675906	0.473022296564	0.529122887324	0.783753045113	0.362206618399	0.656473725202	0.48885378833	0.545405585605	0.745941529657	0.776598560606	0.435593820273	0.725303587417	0.672722868399	0.520854375	0.448183291139	1.11835222222	0.411297691652	0.754588659658	0.409612732112
