	M11Nstl.140810	B.2004.01.S1.405609	C.3037.01.S1.405123	FL.3.32a.3.281781	H55Kc.735962	SE.20100928.GY.NF008.BC.093.a.673660	UQ288.591065	sp0193.486346	EM086.441698	L08A095.799873	bb08145b2a3724c42967dc2dbdab5c3b	b76ecf3dd46fcab94418c68c6fcd8ada	ME10May08EB1R1.486639	mf2188.633126	920cce1ef960ffc7343eb5628636a37e	cf1170.632724	6b3f4f4e221ccf8bbfc57e52791ed288	B26.737560	H60Do.735986	10.8.12.rk.st.0800.1123130	9f400082bffeb4494d4497ef084ffe94	NA.15.T0.830848	Zambon.Leftpalm.983763	cf1126.633182	SPM1x030408.142594	ANT04.S2M1.607431	4d366f8db0835339ed3c686415599480	SPM1x040108.142616	50.col.lumen.TG.676359	CBE09Aug07.617917	HI.20.35e.2.281673	TVF.2004.Loc4.D10.Rep1.414474	1204BCDNA.486523	nest.WY.2008.3.712186.739059	E3E04.826190	sp1017.486420	WT07L.478428	SE.20101009.GY.ALTFF002.BC.225.415346	TS152.2.299097	must.18.1128116	sp1565.486407	F32Hair.140769	Calh5.385340	FL.3.26a.1.281867	TS1.2.299121	soil1.T3U1.536591	F31Forr.140586	sp0759.486364	Myr.tri.Seat.4.03H10.653706	S00305.543918	fut2negative.day56.70.Regular.1004900	TBH12Aug08.618303	PM8x30308.142380	Turkey.Stool.983766	42265f3f55dd9c4c9b4feaee53b1f4fc	CU3258.141544	75f78e4c6e0dc6e4a62f570c1bc9a339	P.Dois.Rios.SB.414865	21.ill.mucosa.WT.676371	SSBE21Aug08.618423
M11Nstl.140810	0.0	0.798009563813	0.940040807754	0.542267027464	0.45698819063	0.568277463651	0.621550791599	0.746969240711	0.809669919225	0.574473117932	0.524487777778	0.758394137931	0.58458625	0.819384444444	0.550431388889	0.762565452539	0.563256666667	0.574810357143	0.601535880452	0.929233570275	0.601848888889	0.679243844911	0.957722746365	0.707372739464	0.749636203554	0.573600080775	0.579952	0.758485621971	0.915517738288	0.480143021002	0.571850071599	0.577152407108	0.661821550889	0.660115201939	0.582236042003	0.678740516963	0.804910833333	0.577407382876	0.782174378029	0.71742450727	0.756655218094	0.456746429725	0.506097396022	0.517263450704	0.796673101777	0.601968529887	0.542367673667	0.681522568659	0.398758691438	0.590290694669	0.819902600969	0.613057253635	0.720545169628	0.674837899838	0.663974375	0.630867156704	1.31481333333	0.52486273021	0.726216235864	0.57548092084
B.2004.01.S1.405609	0.798009563813	0.0	0.583066079384	0.815270576441	0.81741527744	0.802947379506	0.874070688538	0.709710141758	0.316895933576	0.776515949777	0.98218	0.557849310345	0.904636875	0.531565555556	0.818445833333	0.511996666667	0.943732380952	0.7849925	0.606663090986	0.537155872823	0.772713333333	0.494788525719	0.601961194816	0.435807950192	0.432844784946	0.753747974889	0.763513	0.420714583333	0.531392012821	0.850600502228	0.820535847255	0.809793074119	0.804380494127	0.705683377886	0.890618788983	0.793020097205	0.640940416667	0.806073499392	0.341995808081	0.940626828676	0.726506334548	0.942258272921	0.846854141049	0.838670457746	0.307465588972	0.770406095585	0.893974915503	0.75641909275	0.838281417578	0.703836097815	0.331782181818	0.813576820575	0.412887507562	0.704828157149	0.822768125	0.781813322785	1.39962333333	0.772509206156	0.52878088042	0.845078865938
C.3037.01.S1.405123	0.940040807754	0.583066079384	0.0	0.899088157895	0.943943538478	0.89405347617	0.96110305094	0.701652565588	0.523265344236	0.865976162692	1.05176777778	0.796376206897	0.80964875	0.556234444444	0.933356944444	0.888866512141	0.99802952381	0.854036428571	0.771137240646	0.50089558592	1.04669222222	0.782820559685	0.39719676432	0.583174425287	0.658436469534	0.842694137516	0.86997	0.645642564655	0.63494775641	0.943043344417	0.912757756563	0.911641027547	0.883298037822	0.790473629209	0.977349017272	0.873982794053	0.564559583333	0.896230939003	0.662057935606	1.031643989	0.758517110844	1.03582427505	0.931117775769	0.924572517606	0.642337481203	0.868166461522	0.997410176341	0.853657073677	0.939369321163	0.916094079084	0.489494787879	0.910466001312	0.62107092559	0.853346071272	0.9144725	0.856479683544	1.46164666667	0.866257533887	0.873142549277	0.940324680805
FL.3.32a.3.281781	0.542267027464	0.815270576441	0.899088157895	0.0	0.51111264411	0.494525488722	0.582537506266	0.69633877193	0.820620814536	0.444065538847	0.541351111111	0.7342	0.69112	0.7087	0.550145	0.809590463576	0.659905238095	0.467541428571	0.482149636591	0.933725952381	0.559941111111	0.726977418546	0.947310438596	0.753062471264	0.764160175439	0.565794461153	0.544016	0.772080927318	0.932554487179	0.474122330827	0.29890477327	0.355491478697	0.540383182957	0.513417280702	0.556093621554	0.617996491228	0.81946625	0.502735739348	0.783255100251	0.702655401003	0.70112414787	0.664517619048	0.283858625678	0.323314190141	0.821463007519	0.35521462406	0.613709862155	0.569600338346	0.530790451128	0.685069010025	0.812690424242	0.494000814536	0.766235225564	0.721423496241	0.527519375	0.569366977848	1.03164666667	0.435028897243	0.75624173456	0.474165814536
H55Kc.735962	0.45698819063	0.81741527744	0.943943538478	0.51111264411	0.0	0.49824542821	0.70840216144	0.703447288005	0.825057282708	0.420494075809	0.74549	0.753767586207	0.57109375	0.604405555556	0.446425	0.797944569536	0.621564761905	0.569231428571	0.512371496599	0.937849031568	0.517312222222	0.75415597958	0.973715775559	0.732952030651	0.782773673835	0.541977160034	0.557906	0.777433534483	0.941702448718	0.546671701302	0.585983054893	0.563064863592	0.605352914499	0.618759727183	0.418090951343	0.613529861482	0.829451666667	0.50772065251	0.789100751263	0.662429697387	0.707029886092	0.691333710021	0.570797739602	0.587313961268	0.817899561404	0.575272170581	0.592606818516	0.609835947827	0.4354771339	0.595645015609	0.836752818182	0.534220290395	0.69964707804	0.58107732738	0.547559375	0.580465537975	1.05199666667	0.479506884404	0.683891642576	0.486396105903
SE.20100928.GY.NF008.BC.093.a.673660	0.568277463651	0.802947379506	0.89405347617	0.494525488722	0.49824542821	0.0	0.65530069559	0.55765201652	0.808514040485	0.392913364566	0.563663333333	0.807177586207	0.6216025	0.713358888889	0.354131944444	0.778581236203	0.487831904762	0.505682142857	0.58432099915	0.910777295316	0.611077777778	0.74226808938	0.935527202703	0.793720076628	0.762733189964	0.380636007852	0.617155	0.761112686782	0.891231705128	0.524479589914	0.50813221957	0.505125880572	0.422706684619	0.621850029921	0.441917444634	0.464159325953	0.7604175	0.283680927486	0.773600789141	0.704033170564	0.56160175829	0.737064968017	0.539599457505	0.554742869718	0.785271691729	0.516607400188	0.688857736958	0.46045928769	0.549628449798	0.762785182102	0.820225954545	0.452610583216	0.749589310345	0.715529602967	0.5600825	0.512332626582	1.13801444444	0.369461802538	0.760428869908	0.442444901128
UQ288.591065	0.621550791599	0.874070688538	0.96110305094	0.582537506266	0.70840216144	0.65530069559	0.0	0.808331864709	0.878306018984	0.596686273424	0.773271111111	0.817727931034	0.6758	0.90119	0.714138888889	0.824332825607	0.72655	0.662479285714	0.691126785714	0.987115933809	0.702183333333	0.737195277429	1.00997102477	0.801340478927	0.815706272401	0.701156176443	0.653976	0.826580761494	0.967230102564	0.59379706844	0.547400286396	0.508936878647	0.742799753963	0.632569247006	0.733733122416	0.787280056814	0.93181875	0.65153703338	0.821846167929	0.822623820495	0.845337965085	0.708524658849	0.529484448463	0.51797193662	0.857657882206	0.502038472669	0.722016980162	0.749347126692	0.672523327283	0.729529823101	0.872618090909	0.665821833863	0.810793599516	0.832739405639	0.61147375	0.711276914557	1.30208222222	0.599088607621	0.811953863338	0.671361628827
sp0193.486346	0.746969240711	0.709710141758	0.701652565588	0.69633877193	0.703447288005	0.55765201652	0.808331864709	0.0	0.696203899817	0.599648643526	0.773918888889	0.934833448276	0.5741425	0.767181111111	0.662584722222	0.926565474614	0.887457619048	0.689896428571	0.668887568027	0.728777292261	0.932823333333	0.828228625826	0.742716403153	0.753727720307	0.781440215054	0.472375877477	0.776622	0.751527571839	0.765429089744	0.724072396786	0.703956706444	0.670291483764	0.461379484312	0.556089915294	0.758144731965	0.394857990654	0.655485416667	0.61789118883	0.799634412879	0.862564944979	0.213828619633	0.870632014925	0.732074358047	0.716509929577	0.824032518797	0.626196351152	0.81323185158	0.313654175819	0.746977554657	0.87977226847	0.696168727273	0.684471800251	0.766566678766	0.797866479958	0.7623475	0.625325079114	1.45900111111	0.618332460479	0.879302247043	0.67396560788
EM086.441698	0.809669919225	0.316895933576	0.523265344236	0.820620814536	0.825057282708	0.808514040485	0.878306018984	0.696203899817	0.0	0.786851077513	0.984764444444	0.695637586207	0.786239375	0.63759	0.863873055556	0.602927196468	0.916947619048	0.821504285714	0.604161857993	0.400566669716	0.920394444444	0.520852796203	0.495505361391	0.394640938697	0.451816048387	0.759384736962	0.748588	0.427491012931	0.423585435897	0.863473175395	0.816621360382	0.821276346066	0.803534501372	0.702907258692	0.902695774245	0.791241128774	0.715751666667	0.809413992452	0.448715467172	0.941705010316	0.699547552608	0.96236261194	0.860654394213	0.818966690141	0.446793283208	0.780195563815	0.902445180015	0.768954300091	0.832167329597	0.753923933403	0.263469787879	0.829696117338	0.402932316999	0.699117456542	0.7545775	0.807890791139	1.46346777778	0.787603355444	0.581500013141	0.852094153705
L08A095.799873	0.574473117932	0.776515949777	0.865976162692	0.444065538847	0.420494075809	0.392913364566	0.596686273424	0.599648643526	0.786851077513	0.0	0.641852222222	0.822323103448	0.5582825	0.715076666667	0.353533333333	0.800446777042	0.56713	0.433643928571	0.501175663265	0.897386746167	0.564397777778	0.709716497019	0.91211568569	0.735688141762	0.746670770609	0.473699846678	0.641889	0.731621163793	0.879161230769	0.482901047382	0.494935131265	0.462953837308	0.494240909284	0.479037687394	0.43581040247	0.518994135434	0.799441666667	0.416745406729	0.749821054293	0.707799920908	0.631393172913	0.719469658849	0.504852531646	0.537966883803	0.780725250627	0.359724957411	0.654653578251	0.481339659284	0.546386107325	0.746109229969	0.785775181818	0.437891390545	0.727731149425	0.668334863714	0.51926125	0.457899667722	1.23227	0.412618658433	0.755387003942	0.419301795145
