	M11Nstl.140810	B.2004.01.S1.405609	C.3037.01.S1.405123	FL.3.32a.3.281781	H55Kc.735962	SE.20100928.GY.NF008.BC.093.a.673660	UQ288.591065	sp0193.486346	EM086.441698	L08A095.799873	bb08145b2a3724c42967dc2dbdab5c3b	b76ecf3dd46fcab94418c68c6fcd8ada	ME10May08EB1R1.486639	mf2188.633126	920cce1ef960ffc7343eb5628636a37e	cf1170.632724	6b3f4f4e221ccf8bbfc57e52791ed288	B26.737560	H60Do.735986	10.8.12.rk.st.0800.1123130	9f400082bffeb4494d4497ef084ffe94	NA.15.T0.830848	Zambon.Leftpalm.983763	cf1126.633182	SPM1x030408.142594	ANT04.S2M1.607431	4d366f8db0835339ed3c686415599480	SPM1x040108.142616	50.col.lumen.TG.676359	CBE09Aug07.617917	HI.20.35e.2.281673	TVF.2004.Loc4.D10.Rep1.414474	1204BCDNA.486523	nest.WY.2008.3.712186.739059	E3E04.826190	sp1017.486420	WT07L.478428	SE.20101009.GY.ALTFF002.BC.225.415346	TS152.2.299097	must.18.1128116	sp1565.486407	F32Hair.140769	Calh5.385340	FL.3.26a.1.281867	TS1.2.299121	soil1.T3U1.536591	F31Forr.140586	sp0759.486364	Myr.tri.Seat.4.03H10.653706	S00305.543918	fut2negative.day56.70.Regular.1004900	TBH12Aug08.618303	PM8x30308.142380	Turkey.Stool.983766	42265f3f55dd9c4c9b4feaee53b1f4fc	CU3258.141544	75f78e4c6e0dc6e4a62f570c1bc9a339	P.Dois.Rios.SB.414865	21.ill.mucosa.WT.676371	SSBE21Aug08.618423
M11Nstl.140810	0.0	0.797199789984	0.919476203554	0.540018029079	0.496781243942	0.573501017771	0.64110368336	0.734824458805	0.803125961228	0.584884442649	0.532647777778	0.688346551724	0.4523625	0.701052222222	0.591918055556	0.783373863135	0.66806	0.598068571429	0.581029418417	0.936567124394	0.529724444444	0.691101243942	0.957349418417	0.708065038314	0.743934071082	0.563432229402	0.483664	0.759644200323	0.924676235864	0.461308336026	0.591140119332	0.575940113086	0.67016901454	0.637961098546	0.556853311793	0.705209337641	0.8604025	0.562832471729	0.778054636511	0.708522810985	0.766300323102	0.444027059774	0.498849873418	0.527100316901	0.78566	0.609759806139	0.560147156704	0.656466558966	0.383502213247	0.599355218094	0.822538756058	0.595750597738	0.750562294023	0.665223957997	0.617005	0.592031534733	1.04642	0.52747631664	0.71400450727	0.567562051696
B.2004.01.S1.405609	0.797199789984	0.0	0.602530101256	0.806414724311	0.818304434994	0.807464989874	0.869504414743	0.714680413123	0.31296345889	0.774708566221	0.912755555556	0.590423448276	0.837446875	0.763978888889	0.793931111111	0.467966754967	0.894669047619	0.763070357143	0.611316437075	0.510348695828	0.858654444444	0.488268327258	0.581954738761	0.424389636015	0.409245905018	0.757299250709	0.583121	0.407591515805	0.529184564103	0.848449238558	0.827873150358	0.818241223167	0.799861044957	0.704396152288	0.891571182665	0.800710862697	0.6828275	0.803131008505	0.324101092172	0.943295463751	0.725422280275	0.939387452026	0.847938155515	0.833977007042	0.338549774436	0.782126516808	0.894505664952	0.756250805994	0.834321919806	0.699253527575	0.288109621212	0.820334272985	0.409176170599	0.709098918591	0.717746875	0.774678908228	1.41865111111	0.771742689348	0.551580814717	0.842379574727
C.3037.01.S1.405123	0.919476203554	0.602530101256	0.0	0.907333521303	0.939742233275	0.892493048754	0.9654505892	0.701426444031	0.511384981702	0.867976569421	0.988712222222	0.830899310345	0.75993	0.657238888889	0.922005555556	0.803443686534	0.99079	0.920792857143	0.77734579932	0.493335832969	0.791066666667	0.779812105378	0.385785196764	0.61316789272	0.650884327957	0.849944373634	0.804202	0.657111501437	0.616580615385	0.940097173732	0.893100548926	0.909672234368	0.886437864014	0.793346771972	0.981330416484	0.874710583734	0.60018125	0.899133152602	0.654261085859	1.03388749312	0.756432213599	1.03800570362	0.932390994575	0.938452922535	0.667432030075	0.870355534543	0.995705349008	0.851949219502	0.937966024268	0.908910062435	0.517816818182	0.910210033887	0.612327562008	0.853020419764	0.90597625	0.871334382911	1.50752222222	0.865505064495	0.824748948752	0.938117505466
FL.3.32a.3.281781	0.540018029079	0.806414724311	0.907333521303	0.0	0.500897042607	0.511975200501	0.563875037594	0.673642907268	0.809240012531	0.415354498747	0.625478888889	0.713929655172	0.63001375	0.779073333333	0.460018611111	0.802374878587	0.527329047619	0.506332857143	0.515668997494	0.922293721805	0.564666666667	0.722461804511	0.953983295739	0.765850383142	0.766191754386	0.556222080201	0.542895	0.751318809524	0.922845025641	0.485752092732	0.288641384248	0.372417894737	0.530745100251	0.510093320802	0.547196566416	0.612099273183	0.810905416667	0.490711754386	0.789337005013	0.695358107769	0.696184072682	0.665485250627	0.294730542495	0.340864859155	0.806203270677	0.347108897243	0.60033745614	0.560242318296	0.524424736842	0.715653546366	0.830536030303	0.481360087719	0.753182243108	0.725051203008	0.616705625	0.579909018987	1.16253777778	0.426236265664	0.762728409987	0.458722368421
H55Kc.735962	0.496781243942	0.818304434994	0.939742233275	0.500897042607	0.0	0.496679920546	0.710453541696	0.704088297005	0.818825701052	0.416502031516	0.638285555556	0.738614827586	0.7593375	0.605796666667	0.477410555556	0.78332615894	0.620437619048	0.526184285714	0.522642359694	0.939720492872	0.559755555556	0.754215155243	0.971818915764	0.727768793103	0.754169829749	0.543344053579	0.508867	0.767319906609	0.923684705128	0.546579105015	0.58732823389	0.561709321474	0.607957719027	0.623219135143	0.415112321755	0.612052003234	0.846465	0.503437787231	0.792454671717	0.655555526135	0.700708591619	0.709285575693	0.554915334539	0.586166126761	0.821798421053	0.57509030727	0.577045628215	0.605591047673	0.432923404835	0.602086722164	0.841030848485	0.5383757847	0.69339369631	0.583490404303	0.5861975	0.581096993671	1.34666666667	0.477803934046	0.688683022339	0.489848207119
SE.20100928.GY.NF008.BC.093.a.673660	0.573501017771	0.807464989874	0.892493048754	0.511975200501	0.496679920546	0.0	0.656040281118	0.554210514195	0.809078039799	0.389895732538	0.447683333333	0.770226551724	0.63686	0.649787777778	0.368556111111	0.78824205298	0.485142380952	0.441920714286	0.577811339286	0.920317684318	0.537502222222	0.743491128965	0.934040954955	0.809777222222	0.758251998208	0.376850705057	0.646279	0.761179267241	0.905375794872	0.521017237462	0.522829260143	0.505689885673	0.41982104879	0.622008191569	0.441451715367	0.465051936367	0.749157083333	0.284627699149	0.768887316919	0.695797548143	0.560287296557	0.74002108742	0.531023092224	0.555213573944	0.787827819549	0.518692408896	0.688168398237	0.461233871102	0.550496282485	0.745497845994	0.819838378788	0.451597183645	0.757365601936	0.71455597594	0.552971875	0.51947153481	0.773784444444	0.367891922453	0.763010880421	0.441298312582
UQ288.591065	0.64110368336	0.869504414743	0.9654505892	0.563875037594	0.710453541696	0.656040281118	0.0	0.809009839716	0.878350926349	0.593497044293	0.708356666667	0.76921	0.722078125	0.795782222222	0.733049444444	0.844970220751	0.691635714286	0.649283928571	0.691624808673	0.989555742363	0.798445555556	0.733297933718	1.00414965315	0.811351590038	0.815511594982	0.7013763861	0.696504	0.823135991379	0.962367474359	0.602298916597	0.558804749403	0.507754649666	0.744435170442	0.633219738608	0.733219105856	0.787769329924	0.961714166667	0.65259724162	0.831158207071	0.821497362448	0.843191740568	0.716045788913	0.533466148282	0.504573309859	0.852316328321	0.500284166667	0.72162668626	0.749653523541	0.669436648791	0.719761706556	0.886070045455	0.664147619487	0.819766781609	0.826276459037	0.544265625	0.719016787975	1.2786	0.599316054741	0.813119684625	0.674361062692
sp0193.486346	0.734824458805	0.714680413123	0.701426444031	0.673642907268	0.704088297005	0.554210514195	0.809009839716	0.0	0.689484573422	0.602814169506	0.896708888889	0.87908137931	0.4916775	0.7516	0.712163055556	0.920869757174	0.845938095238	0.667528928571	0.675984345238	0.722619133401	0.845411111111	0.838046714369	0.740005135698	0.738510153257	0.777581836918	0.470103189656	0.735748	0.75835558908	0.752752307692	0.725595821557	0.688381193317	0.671204436207	0.46214420307	0.554029829691	0.758820167218	0.396952439184	0.583069166667	0.617840277623	0.804318301768	0.846233535076	0.214238277811	0.866583144989	0.71282755877	0.720977869718	0.809760676692	0.626921525322	0.827717465099	0.316325527824	0.750210120452	0.885944068678	0.702437287879	0.681772778311	0.760156128252	0.799845564643	0.695478125	0.623650585443	1.38195222222	0.618280063933	0.879926360053	0.673640503882
EM086.441698	0.803125961228	0.31296345889	0.511384981702	0.809240012531	0.818825701052	0.809078039799	0.878350926349	0.689484573422	0.0	0.788895191652	0.96755	0.750282758621	0.801278125	0.537753333333	0.841738055556	0.569795275938	0.92128	0.894578571429	0.602134536565	0.388636095608	0.786583333333	0.524566828683	0.490311877859	0.417738295019	0.428085080645	0.752904398445	0.753669	0.4149725	0.440517858974	0.859645791078	0.822240763723	0.824541841263	0.806720846295	0.707526145929	0.901948470952	0.790566631976	0.55186875	0.805800806267	0.45949905303	0.949808586657	0.701408575023	0.952873272921	0.843632730561	0.856267975352	0.467775037594	0.786122195791	0.904800330639	0.766280347667	0.829250344236	0.74643640999	0.274139560606	0.829340985819	0.418909637024	0.687567218664	0.650480625	0.803753528481	1.14960555556	0.782466294602	0.612590157687	0.854349074794
L08A095.799873	0.584884442649	0.774708566221	0.867976569421	0.415354498747	0.416502031516	0.389895732538	0.593497044293	0.602814169506	0.788895191652	0.0	0.57802	0.804207586207	0.60362125	0.737952222222	0.370008055556	0.800501412804	0.57845952381	0.418331785714	0.503385497449	0.894229561329	0.461494444444	0.70619024276	0.919496769591	0.733958199234	0.732821370968	0.47049866908	0.633214	0.746499396552	0.8881765	0.480174679967	0.467532840095	0.465415581346	0.484451094549	0.475513236797	0.430431750426	0.518448268739	0.683621666667	0.410824329216	0.757285309343	0.712255914718	0.623768341141	0.711379307036	0.517661518987	0.517602007042	0.778081353383	0.354623928876	0.642441711976	0.489654531516	0.543217127342	0.727889209157	0.777549363636	0.439325438671	0.726988408953	0.664845971039	0.51611875	0.448018196203	0.960048888889	0.404535053237	0.762091484888	0.419266120102
